index,binary_accuracy,epoch,stage
0,0.7009999752,0,train
1,0.7883999944000001,1,train
2,0.8169875145000001,2,train
3,0.8542749882,3,train
4,0.8849999905,4,train
5,0.9117125273000001,5,train
6,0.9281749725,6,train
7,0.9444249868000001,7,train
8,0.9538000226000001,8,train
9,0.9620500207,9,train
10,0.9688000083,10,train
11,0.9730125070000001,11,train
12,0.9764124751000001,12,train
13,0.9805374742,13,train
14,0.9824249744,14,train
15,0.9847875237,15,train
16,0.986212492,16,train
17,0.9883999825,17,train
18,0.9894875288,18,train
19,0.9905999899000001,19,train
20,0.9911375046,20,train
21,0.9925000072000001,21,train
22,0.9932875037000001,22,train
23,0.9939749837,23,train
24,0.9941750169,24,train
0,0.7838500142,0,val
1,0.8003500104,1,val
2,0.8076000214,2,val
3,0.7994999886,3,val
4,0.805949986,4,val
5,0.8096500039000001,5,val
6,0.8067499995,6,val
7,0.8029000163000001,7,val
8,0.7976999879000001,8,val
9,0.8003000021000001,9,val
10,0.7997000217,10,val
11,0.8033000231,11,val
12,0.8055999875000001,12,val
13,0.8062000275000001,13,val
14,0.8036500216,14,val
15,0.8078500032,15,val
16,0.8062000275000001,16,val
17,0.8065000176,17,val
18,0.8060500026,18,val
19,0.8071500063,19,val
20,0.8087000251,20,val
21,0.8085500002,21,val
22,0.8088499904,22,val
23,0.8097500205,23,val
24,0.8090999722000001,24,val
