index,cost_metric,epoch,stage
0,-52.5059547424,0,train
1,-37.9518165588,1,train
2,-32.7222862244,2,train
3,-26.7565727234,3,train
4,-21.0830917358,4,train
5,-16.6236896515,5,train
6,-13.8970794678,6,train
7,-10.9274568558,7,train
8,-9.4651107788,8,train
9,-7.6627039909,9,train
10,-6.5728383063999996,10,train
11,-5.6357483863999995,11,train
12,-4.8866276741,12,train
13,-4.0112104416,13,train
14,-3.7607371807,14,train
15,-3.3427274227,15,train
16,-2.9793791771,16,train
17,-2.6676559448,17,train
18,-2.2837769985,18,train
19,-1.9977430105,19,train
20,-1.9512683153000001,20,train
21,-1.6655230522000002,21,train
22,-1.4787098169,22,train
23,-1.3163243532,23,train
24,-1.3178426027,24,train
0,-39.3669509888,0,val
1,-34.6878204346,1,val
2,-33.748462677,2,val
3,-28.8776397705,3,val
4,-34.4959716797,4,val
5,-38.0496139526,5,val
6,-41.3336715698,6,val
7,-43.3511199951,7,val
8,-35.0413322449,8,val
9,-35.7748451233,9,val
10,-41.4223556519,10,val
11,-47.9088134766,11,val
12,-44.7863731384,12,val
13,-55.3126487732,13,val
14,-54.8359451294,14,val
15,-49.7793807983,15,val
16,-59.1678314209,16,val
17,-53.8580055237,17,val
18,-49.2158813477,18,val
19,-57.8594932556,19,val
20,-54.7106361389,20,val
21,-54.1964874268,21,val
22,-48.354473114,22,val
23,-51.3717803955,23,val
24,-48.6900100708,24,val
