index,loss,epoch,stage
0,0.5494145155,0,train
1,0.4427616298,1,train
2,0.3959537446,2,train
3,0.3329280019,3,train
4,0.2756404579,4,train
5,0.2220676094,5,train
6,0.1856858879,6,train
7,0.1499579251,7,train
8,0.12949484590000002,8,train
9,0.1098817363,9,train
10,0.0954309925,10,train
11,0.0869529992,11,train
12,0.0772885829,12,train
13,0.0657435581,13,train
14,0.0620981455,14,train
15,0.0561867245,15,train
16,0.049953054600000005,16,train
17,0.044787157300000005,17,train
18,0.0393523574,18,train
19,0.0356722884,19,train
20,0.0331087634,20,train
21,0.0289929695,21,train
22,0.026167254900000003,22,train
23,0.0227955468,23,train
24,0.0228487756,24,train
0,0.45322367550000003,0,val
1,0.4245553613,1,val
2,0.42438173290000003,2,val
3,0.4838637114,3,val
4,0.5346999764,4,val
5,0.5612214208,5,val
6,0.6511318684,6,val
7,0.7596837878,7,val
8,0.8400975466,8,val
9,0.9905357361,9,val
10,1.0139958858,10,val
11,1.0965516567,11,val
12,1.1475337744,12,val
13,1.2430217266,13,val
14,1.3122415543,14,val
15,1.2757664919,15,val
16,1.3757477999,16,val
17,1.4140672684,17,val
18,1.4821423292,18,val
19,1.4967232943,19,val
20,1.5163863897,20,val
21,1.5094337463,21,val
22,1.5542821884,22,val
23,1.5808508396,23,val
24,1.6139471531,24,val
