index,cost_metric,epoch,stage
0,-42.0597267151,0,train
1,-37.607334137,1,train
2,-32.393032074,2,train
3,-26.1926937103,3,train
4,-21.1553192139,4,train
5,-17.0659866333,5,train
6,-13.748497963,6,train
7,-11.2812728882,7,train
8,-9.174955367999999,8,train
9,-7.6718611717,9,train
10,-6.7743110657,10,train
11,-5.436357975,11,train
12,-4.9480848312,12,train
13,-4.4916219711,13,train
14,-3.6829438210000003,14,train
15,-2.9878201485,15,train
16,-2.864107132,16,train
17,-2.5301551819,17,train
18,-2.2799217701,18,train
19,-1.826887846,19,train
20,-1.9958701134,20,train
21,-1.8294267654,21,train
22,-1.4024808407,22,train
23,-1.3301374912,23,train
24,-1.2518839836,24,train
0,-40.0972290039,0,val
1,-33.9514884949,1,val
2,-32.5806846619,2,val
3,-39.1569366455,3,val
4,-42.1752891541,4,val
5,-37.269733429,5,val
6,-41.2033233643,6,val
7,-42.7181892395,7,val
8,-47.1131591797,8,val
9,-52.757648468,9,val
10,-42.0937461853,10,val
11,-48.5652923584,11,val
12,-43.3049583435,12,val
13,-49.8979263306,13,val
14,-54.5555114746,14,val
15,-46.7385368347,15,val
16,-51.4719696045,16,val
17,-55.8168449402,17,val
18,-56.3746299744,18,val
19,-53.0920639038,19,val
20,-53.5018234253,20,val
21,-49.3193702698,21,val
22,-52.2261962891,22,val
23,-49.7259025574,23,val
24,-49.5939483643,24,val
