index,loss,epoch,stage
0,0.5501971841000001,0,train
1,0.441375196,1,train
2,0.3925473988,2,train
3,0.3325839043,3,train
4,0.2713252604,4,train
5,0.2205186039,5,train
6,0.1809793711,6,train
7,0.1495403498,7,train
8,0.1277941316,8,train
9,0.1088430658,9,train
10,0.0959156454,10,train
11,0.0827786177,11,train
12,0.0739677101,12,train
13,0.0687733293,13,train
14,0.0582334064,14,train
15,0.0519035719,15,train
16,0.0460894331,16,train
17,0.042046174400000004,17,train
18,0.038087837400000005,18,train
19,0.0333139412,19,train
20,0.032583236700000004,20,train
21,0.028727538900000002,21,train
22,0.0242531635,22,train
23,0.0206448324,23,train
24,0.0234780442,24,train
0,0.44940033560000003,0,val
1,0.4254386127,1,val
2,0.4203246534,2,val
3,0.46225306390000004,3,val
4,0.5168380141,4,val
5,0.6371776462000001,5,val
6,0.6688689590000001,6,val
7,0.7832832932,7,val
8,0.8717558384,8,val
9,1.0449368954,9,val
10,1.1251821518,10,val
11,1.1292457581,11,val
12,1.2304097414,12,val
13,1.202265501,13,val
14,1.2940965891,14,val
15,1.2746751308,15,val
16,1.4355976582,16,val
17,1.39899683,17,val
18,1.4527041912,18,val
19,1.4766587019,19,val
20,1.4794776440000001,20,val
21,1.5387127399,21,val
22,1.5702388287,22,val
23,1.6128997803,23,val
24,1.6146882772,24,val
