index,binary_accuracy,epoch,stage
0,0.7002999783,0,train
1,0.7867749929000001,1,train
2,0.8181625009,2,train
3,0.8518875241,3,train
4,0.8841249943,4,train
5,0.9110124707,5,train
6,0.9309750199000001,6,train
7,0.9434875250000001,7,train
8,0.9542750120000001,8,train
9,0.9612874985000001,9,train
10,0.9676749706000001,10,train
11,0.9737499952,11,train
12,0.9772874713,12,train
13,0.9811875224000001,13,train
14,0.9828749895000001,14,train
15,0.9854375124,15,train
16,0.9863374829,16,train
17,0.9882125258000001,17,train
18,0.9900125265,18,train
19,0.9907125235,19,train
20,0.9916499853,20,train
21,0.9925249815,21,train
22,0.9934999943,22,train
23,0.9941999912,23,train
24,0.9938250184,24,train
0,0.7861499786,0,val
1,0.8061500192000001,1,val
2,0.8054000139,2,val
3,0.8072999716,3,val
4,0.8116999865000001,4,val
5,0.8081499934,5,val
6,0.8019999862,6,val
7,0.8065000176,7,val
8,0.8083999753000001,8,val
9,0.8073499799,9,val
10,0.799399972,10,val
11,0.8082000017000001,11,val
12,0.8043500185,12,val
13,0.8084499836,13,val
14,0.8069499731,14,val
15,0.8058999777,15,val
16,0.8055499792,16,val
17,0.8055999875000001,17,val
18,0.8077499866000001,18,val
19,0.805249989,19,val
20,0.8069000244000001,20,val
21,0.8070499897000001,21,val
22,0.8086000085,22,val
23,0.8072999716,23,val
24,0.8083500266,24,val
