index,cost_metric,epoch,stage
0,-42.9172477722,0,train
1,-37.9226608276,1,train
2,-32.4849128723,2,train
3,-26.7104244232,3,train
4,-21.2779254913,4,train
5,-16.8146820068,5,train
6,-13.3283472061,6,train
7,-11.4020118713,7,train
8,-9.429400444,8,train
9,-7.9912443161,9,train
10,-6.7707748413,10,train
11,-5.6093091965,11,train
12,-4.9471487999,12,train
13,-4.1212697029,13,train
14,-3.6496500969,14,train
15,-3.072268486,15,train
16,-3.0339436531,16,train
17,-2.6823942661,17,train
18,-2.1213328838,18,train
19,-2.1837964058,19,train
20,-1.9946113825,20,train
21,-1.7121767998,21,train
22,-1.4658144712,22,train
23,-1.3200622797000001,23,train
24,-1.3698394299,24,train
0,-39.9217147827,0,val
1,-39.7116088867,1,val
2,-29.4098968506,2,val
3,-30.9054660797,3,val
4,-38.5521011353,4,val
5,-41.9956130981,5,val
6,-34.995300293,6,val
7,-40.8801040649,7,val
8,-45.0382728577,8,val
9,-41.3973045349,9,val
10,-40.4109992981,10,val
11,-48.252204895,11,val
12,-51.7725143433,12,val
13,-55.2877502441,13,val
14,-56.6270256042,14,val
15,-55.7833633423,15,val
16,-57.2210578918,16,val
17,-60.3916931152,17,val
18,-57.3109169006,18,val
19,-54.4306297302,19,val
20,-56.4022750854,20,val
21,-50.4807243347,21,val
22,-52.1986236572,22,val
23,-53.6138420105,23,val
24,-47.204082489,24,val
