index,loss,epoch,stage
0,0.5481084585,0,train
1,0.4424618185,1,train
2,0.39279115200000003,2,train
3,0.3332879841,3,train
4,0.2729858756,4,train
5,0.2214208692,5,train
6,0.1812232882,6,train
7,0.1525168717,7,train
8,0.12983995680000002,8,train
9,0.1128407121,9,train
10,0.0983228758,10,train
11,0.0839281306,11,train
12,0.0763437003,12,train
13,0.0650623515,13,train
14,0.0613988787,14,train
15,0.053641472,15,train
16,0.0488820635,16,train
17,0.0429596119,17,train
18,0.036976587000000005,18,train
19,0.0353839584,19,train
20,0.032110814,20,train
21,0.0293064881,21,train
22,0.0264103673,22,train
23,0.0244064573,23,train
24,0.023990973800000003,24,train
0,0.4506748915,0,val
1,0.42293691640000003,1,val
2,0.4252575636,2,val
3,0.4457958937,3,val
4,0.5274389386,4,val
5,0.5931377411000001,5,val
6,0.7449499965,6,val
7,0.7960925698,7,val
8,0.8290359378000001,8,val
9,1.0106652975,9,val
10,1.0651593208,10,val
11,1.0951689482,11,val
12,1.1276067495,12,val
13,1.1723284721,13,val
14,1.204963088,14,val
15,1.2790789604000001,15,val
16,1.3367997408,16,val
17,1.3733063936,17,val
18,1.4681185484000001,18,val
19,1.4510712624,19,val
20,1.5176676512,20,val
21,1.5276253223,21,val
22,1.5802825689,22,val
23,1.6201505661,23,val
24,1.6255939007,24,val
