index,auc,epoch,stage
0,0.731393218,0,train
1,0.7906031013,1,train
2,0.8169017434,2,train
3,0.8382443786,3,train
4,0.8566422462000001,4,train
5,0.8727316856,5,train
6,0.8864389658,6,train
7,0.8981715441,7,train
8,0.9079163074000001,8,train
9,0.9165383577,9,train
10,0.9248155355000001,10,train
11,0.9317135215000001,11,train
12,0.9378922582,12,train
13,0.9441572428,13,train
14,0.9481290579,14,train
15,0.9534611106,15,train
16,0.9562397599,16,train
17,0.9607067108,17,train
18,0.9635844827000001,18,train
19,0.9661408067,19,train
20,0.9692341685,20,train
21,0.9714238048,21,train
22,0.9737131,22,train
23,0.9756680131000001,23,train
24,0.9773543477000001,24,train
0,0.7670193911000001,0,test
1,0.7774371505000001,1,test
2,0.7803229094,2,test
3,0.7764929533,3,test
4,0.7805941701,4,test
5,0.7789862752000001,5,test
6,0.7715135813,6,test
7,0.7758993506,7,test
8,0.7746896744,8,test
9,0.7686192989,9,test
10,0.7621462345000001,10,test
11,0.7655236125,11,test
12,0.7634484172,12,test
13,0.7572695613,13,test
14,0.7593268156,14,test
15,0.7530677915,15,test
16,0.7553129196,16,test
17,0.7456375957,17,test
18,0.7533752918000001,18,test
19,0.7506728172,19,test
20,0.7488163114,20,test
21,0.7474995852,21,test
22,0.7466924191000001,22,test
23,0.7453189492000001,23,test
24,0.7435943484,24,test
