index,binary_accuracy,epoch,stage
0,0.6645874977,0,train
1,0.7165125012,1,train
2,0.7410874963,2,train
3,0.7589374781,3,train
4,0.7768499851,4,train
5,0.7917125225,5,train
6,0.8056250215,6,train
7,0.8179500103,7,train
8,0.8283625245,8,train
9,0.8391500115,9,train
10,0.8482624888,10,train
11,0.8585000038,11,train
12,0.8655499816000001,12,train
13,0.8728625178,13,train
14,0.8800874949,14,train
15,0.8847749829,15,train
16,0.8912624717000001,16,train
17,0.8961750269000001,17,train
18,0.9013875127000001,18,train
19,0.9078999758,19,train
20,0.9106374979,20,train
21,0.9156000018,21,train
22,0.9188625216,22,train
23,0.9233250022,23,train
24,0.925562501,24,train
0,0.6875,0,val
1,0.6955999732,1,val
2,0.6984999776,2,val
3,0.6962000132,3,val
4,0.7008000016,4,val
5,0.6951500177000001,5,val
6,0.6996999979,6,val
7,0.6983500123,7,val
8,0.6822000146,8,val
9,0.6929500103,9,val
10,0.6802999973,10,val
11,0.692900002,11,val
12,0.6765499711,12,val
13,0.6835500002,13,val
14,0.6890000105,14,val
15,0.6754999757,15,val
16,0.6859999895000001,16,val
17,0.6884499788,17,val
18,0.6845499873,18,val
19,0.6777999997,19,val
20,0.6840500236,20,val
21,0.6800000072,21,val
22,0.6789500117,22,val
23,0.6725999713,23,val
24,0.6772999763,24,val
