index,cost_metric,epoch,stage
0,-102.3607635498,0,train
1,-94.9584960938,1,train
2,-88.216255188,2,train
3,-81.4792022705,3,train
4,-75.7869033813,4,train
5,-71.2920608521,5,train
6,-66.2738189697,6,train
7,-61.6973609924,7,train
8,-58.3845329285,8,train
9,-55.1070213318,9,train
10,-52.6284065247,10,train
11,-50.2311782837,11,train
12,-48.0495529175,12,train
13,-45.7831878662,13,train
14,-44.0180130005,14,train
15,-42.4048690796,15,train
16,-41.2445411682,16,train
17,-39.7813949585,17,train
18,-38.6552276611,18,train
19,-37.4211578369,19,train
20,-36.216709137,20,train
21,-35.2077903748,21,train
22,-34.2674331665,22,train
23,-33.5212478638,23,train
24,-32.7760162354,24,train
0,-99.7812957764,0,test
1,-97.6536331177,1,test
2,-97.3930130005,2,test
3,-96.267791748,3,test
4,-100.035736084,4,test
5,-101.2353286743,5,test
6,-101.7219085693,6,test
7,-103.5344467163,7,test
8,-105.1330490112,8,test
9,-107.1640777588,9,test
10,-107.0031738281,10,test
11,-107.5083847046,11,test
12,-107.4921035767,12,test
13,-107.3825378418,13,test
14,-108.9293670654,14,test
15,-109.782623291,15,test
16,-109.099609375,16,test
17,-109.5205078125,17,test
18,-106.4030990601,18,test
19,-106.8307800293,19,test
20,-104.5264663696,20,test
21,-105.1459655762,21,test
22,-103.3993759155,22,test
23,-103.1843109131,23,test
24,-103.2158584595,24,test
