index,precision_at_recall,epoch,stage
0,0.7209244967,0,train
1,0.7961241007000001,1,train
2,0.8292325139000001,2,train
3,0.8585178852,3,train
4,0.8826363087,4,train
5,0.9017237425,5,train
6,0.9165157676000001,6,train
7,0.9306403399000001,7,train
8,0.941677928,8,train
9,0.9518340826,9,train
10,0.9595891833,10,train
11,0.9649908543000001,11,train
12,0.9712293148000001,12,train
13,0.9755509496,13,train
14,0.9778288603,14,train
15,0.9826007485,15,train
16,0.9837166667,16,train
17,0.9880204201,17,train
18,0.9881953001,18,train
19,0.9899267554000001,19,train
20,0.9925405979,20,train
21,0.9928795695,21,train
22,0.9939268231,22,train
23,0.9941682220000001,23,train
24,0.9955957532,24,train
0,0.765430212,0,test
1,0.7806138396000001,1,test
2,0.7847583294,2,test
3,0.7780711055,3,test
4,0.7776229978,4,test
5,0.7789407969000001,5,test
6,0.7636475563,6,test
7,0.7734798193,7,test
8,0.7739184499,8,test
9,0.7621366382,9,test
10,0.7512012124,10,test
11,0.7618467212000001,11,test
12,0.7601160407,12,test
13,0.7512026429,13,test
14,0.7533605099,14,test
15,0.7444013357,15,test
16,0.7486510873000001,16,test
17,0.7312995195,17,test
18,0.7508300543,18,test
19,0.7454951406,19,test
20,0.7431507111,20,test
21,0.7408942580000001,21,test
22,0.7387173176,22,test
23,0.7365781665000001,23,test
24,0.7362035513,24,test
