index,recall,epoch,stage
0,0.6733634472000001,0,train
1,0.7190346718,1,train
2,0.7388754487,2,train
3,0.7582420111,3,train
4,0.7759115696000001,4,train
5,0.7920587063000001,5,train
6,0.8058598638000001,6,train
7,0.8162170053000001,7,train
8,0.8277471066000001,8,train
9,0.8384287357,9,train
10,0.8459407687,10,train
11,0.8561980724,11,train
12,0.8626868725,12,train
13,0.8706231713,13,train
14,0.8788090348,14,train
15,0.8848486543,15,train
16,0.8887918591,16,train
17,0.8945069909000001,17,train
18,0.8997728825,18,train
19,0.9037410617,19,train
20,0.9099054337,20,train
21,0.9125009179,21,train
22,0.9175671935,22,train
23,0.9216850996,23,train
24,0.9245551229000001,24,train
0,0.7799818516,0,test
1,0.7756519914000001,1,test
2,0.7604470849,2,test
3,0.7998187542,3,test
4,0.7480615973,4,test
5,0.7528949976,5,test
6,0.8225757480000001,6,test
7,0.7063739896,7,test
8,0.6615647674,8,test
9,0.7280233502,9,test
10,0.7820964456,10,test
11,0.6846238971,11,test
12,0.7136240005000001,12,test
13,0.7367838025,13,test
14,0.6902627945,14,test
15,0.7312455773000001,15,test
16,0.6782801151,16,test
17,0.7575269341,17,test
18,0.6275299788,18,test
19,0.6948947906,19,test
20,0.6987211704,20,test
21,0.6964051723,21,test
22,0.69006145,22,test
23,0.705467701,23,test
24,0.7048635483,24,test
