index,specificity_at_sensitivity,epoch,stage
0,0.8025344014,0,train
1,0.8698505163,1,train
2,0.8950189352000001,2,train
3,0.9168065190000001,3,train
4,0.9328842163000001,4,train
5,0.9450301528,5,train
6,0.9538203478,6,train
7,0.9621597528,7,train
8,0.9686459303,8,train
9,0.9745811820000001,9,train
10,0.9788134694,10,train
11,0.9817935824,11,train
12,0.9851243496000001,12,train
13,0.9873030782000001,13,train
14,0.9884049892000001,14,train
15,0.9909594059000001,15,train
16,0.9915604591,16,train
17,0.993889451,17,train
18,0.993914485,18,train
19,0.9947659969,19,train
20,0.9961934090000001,20,train
21,0.9963687658,21,train
22,0.9969196916,22,train
23,0.9970449209000001,23,train
24,0.9976960421000001,24,train
0,0.8467573524,0,test
1,0.8608600497000001,1,test
2,0.8642367721,2,test
3,0.8580792546,3,test
4,0.8572847247000001,4,test
5,0.8594696522,5,test
6,0.8473532796000001,6,test
7,0.854603231,7,test
8,0.8551990986,8,test
9,0.8447710872,9,test
10,0.8354355097,10,test
11,0.8447710872,11,test
12,0.8439765573,12,test
13,0.8356341124000001,13,test
14,0.8378190398,14,test
15,0.8299731612,15,test
16,0.8334491849000001,16,test
17,0.8180553913,17,test
18,0.8360313773,18,test
19,0.8302711248,19,test
20,0.8286820650000001,20,test
21,0.8261992335,21,test
22,0.8252061009,22,test
23,0.8226239085,23,test
24,0.8229218125000001,24,test
