index,auc,epoch,stage
0,0.7304556966,0,train
1,0.7923592329,1,train
2,0.8201360106000001,2,train
3,0.843477428,3,train
4,0.8634559512000001,4,train
5,0.8798398376000001,5,train
6,0.8937367201,6,train
7,0.9050273895000001,7,train
8,0.9150347710000001,8,train
9,0.9243765473000001,9,train
10,0.9312807322000001,10,train
11,0.9382632971,11,train
12,0.9443802238000001,12,train
13,0.9489718676000001,13,train
14,0.9543834925,14,train
15,0.9576020837,15,train
16,0.9618844986,16,train
17,0.9644117951000001,17,train
18,0.9683296084,18,train
19,0.9705041647,19,train
20,0.9731965065,20,train
21,0.9752640724,21,train
22,0.9772335291,22,train
23,0.9787573218000001,23,train
24,0.9803142548,24,train
0,0.7679801583,0,test
1,0.7786439061,1,test
2,0.7815572619000001,2,test
3,0.7814381719,3,test
4,0.7792907953,4,test
5,0.7795585394000001,5,test
6,0.7786543965,6,test
7,0.7760734558,7,test
8,0.7736775875,8,test
9,0.7721053958,9,test
10,0.7652800679,10,test
11,0.7665736079000001,11,test
12,0.7599059939,12,test
13,0.7615906,13,test
14,0.7553636432,14,test
15,0.7568092942,15,test
16,0.7514805794,16,test
17,0.7519335747,17,test
18,0.7504274249,18,test
19,0.7512060404,19,test
20,0.7488658428,20,test
21,0.7486121655,21,test
22,0.7455691099,22,test
23,0.7448109984,23,test
24,0.7418806553,24,test
