index,binary_accuracy,epoch,stage
0,0.6685624719000001,0,train
1,0.7151250243,1,train
2,0.7357249856,2,train
3,0.7552624941,3,train
4,0.7727749944000001,4,train
5,0.787912488,5,train
6,0.8007500172,6,train
7,0.8138124943,7,train
8,0.8223749995,8,train
9,0.8348249793,9,train
10,0.8423874974000001,10,train
11,0.8514750004,11,train
12,0.8593249917,12,train
13,0.86650002,13,train
14,0.8737124801,14,train
15,0.8786000013,15,train
16,0.8855624795,16,train
17,0.8915500045,17,train
18,0.8944749832000001,18,train
19,0.9017750025,19,train
20,0.904399991,20,train
21,0.9097375274,21,train
22,0.9136750102000001,22,train
23,0.9163749814000001,23,train
24,0.9200124741000001,24,train
0,0.6873999834,0,val
1,0.6916000247,1,val
2,0.698300004,2,val
3,0.704949975,3,val
4,0.7018499970000001,4,val
5,0.6976000071,5,val
6,0.6998999715,6,val
7,0.6868000031,7,val
8,0.7002500296,8,val
9,0.6880000234,9,val
10,0.6979500055,10,val
11,0.6914499998,11,val
12,0.6934000254,12,val
13,0.6841499805,13,val
14,0.6924999952,14,val
15,0.6846500039,15,val
16,0.6880499721000001,16,val
17,0.6784999967,17,val
18,0.6834999919,18,val
19,0.6851500273000001,19,val
20,0.6853500009,20,val
21,0.6877499819,21,val
22,0.6845499873,22,val
23,0.6809999943,23,val
24,0.6836500168,24,val
