index,cost_metric,epoch,stage
0,-109.7456817627,0,train
1,-87.482749939,1,train
2,-79.0165328979,2,train
3,-71.4897994995,3,train
4,-65.6488189697,4,train
5,-60.6484298706,5,train
6,-56.7545051575,6,train
7,-52.7322463989,7,train
8,-50.530090332,8,train
9,-46.8744087219,9,train
10,-44.6672286987,10,train
11,-42.130569458,11,train
12,-39.7787055969,12,train
13,-37.6879730225,13,train
14,-35.5351142883,14,train
15,-33.8034362793,15,train
16,-31.860502243,16,train
17,-29.889957428,17,train
18,-29.4557361603,18,train
19,-27.232749939,19,train
20,-26.3412704468,20,train
21,-24.8851203918,21,train
22,-23.6049251556,22,train
23,-23.1083889008,23,train
24,-22.0837974548,24,train
0,-133.494354248,0,val
1,-131.8192443848,1,val
2,-120.9292678833,2,val
3,-102.9278335571,3,val
4,-107.0789871216,4,val
5,-115.033996582,5,val
6,-99.5812683105,6,val
7,-137.3101348877,7,val
8,-83.1695480347,8,val
9,-128.2842712402,9,val
10,-75.2126159668,10,val
11,-120.5855941772,11,val
12,-80.4989700317,12,val
13,-130.0433807373,13,val
14,-78.482170105,14,val
15,-125.8738479614,15,val
16,-82.2751617432,16,val
17,-135.7131347656,17,val
18,-72.2802886963,18,val
19,-105.8235168457,19,val
20,-84.4645996094,20,val
21,-89.7334518433,21,val
22,-110.4342346191,22,val
23,-78.7034683228,23,val
24,-96.5361480713,24,val
