index,loss,epoch,stage
0,0.60599792,0,train
1,0.5490955710000001,1,train
2,0.5180363059,2,train
3,0.4888052344,3,train
4,0.4609910548,4,train
5,0.43594712020000004,5,train
6,0.4125793874,6,train
7,0.39192688470000003,7,train
8,0.3723124564,8,train
9,0.35300585630000003,9,train
10,0.3368423581,10,train
11,0.3207310736,11,train
12,0.3051460087,12,train
13,0.29264393450000004,13,train
14,0.2779165208,14,train
15,0.2676473558,15,train
16,0.25486713650000004,16,train
17,0.2458270043,17,train
18,0.23308978970000002,18,train
19,0.2248265892,19,train
20,0.2147652358,20,train
21,0.2064836174,21,train
22,0.19826246800000003,22,train
23,0.19152887170000002,23,train
24,0.18443654480000002,24,train
0,0.5746172667,0,test
1,0.5629127622,1,test
2,0.5628015995,2,test
3,0.568852663,3,test
4,0.5802902579,4,test
5,0.5885272026,5,test
6,0.599778235,6,test
7,0.6223199368,7,test
8,0.6371400952,8,test
9,0.6596044898,9,test
10,0.708601892,10,test
11,0.7044962645,11,test
12,0.7466647029,12,test
13,0.7517380118,13,test
14,0.7978517413,14,test
15,0.8029915094000001,15,test
16,0.8524908423,16,test
17,0.8395962715,17,test
18,0.8805235624000001,18,test
19,0.9124703407,19,test
20,0.9430730343,20,test
21,1.0065592527,21,test
22,1.0045040846,22,test
23,1.0233438015,23,test
24,1.057997942,24,test
