index,precision_at_recall,epoch,stage
0,0.7254251838,0,train
1,0.7975460291,1,train
2,0.8334441185,2,train
3,0.8595889211000001,3,train
4,0.8823066354,4,train
5,0.9015120864,5,train
6,0.9198134542,6,train
7,0.9320706129,7,train
8,0.9414789081,8,train
9,0.9527231455,9,train
10,0.9599025249,10,train
11,0.9660496712000001,11,train
12,0.9710068703,12,train
13,0.9748312235000001,13,train
14,0.9792796373,14,train
15,0.9819198847,15,train
16,0.9842416644,16,train
17,0.9874773026,17,train
18,0.9885988832,18,train
19,0.9894564748,19,train
20,0.9909905791,20,train
21,0.9914253354,21,train
22,0.9935159683,22,train
23,0.9938771725000001,23,train
24,0.9940289855000001,24,train
0,0.7614082694000001,0,val
1,0.7785423994,1,val
2,0.7800590992,2,val
3,0.7836606503,3,val
4,0.7816037536,4,val
5,0.7744945288,5,val
6,0.7733518481,6,val
7,0.7615512609,7,val
8,0.7696810961,8,val
9,0.7566591501000001,9,val
10,0.7664661407000001,10,val
11,0.7503768206,11,val
12,0.7593101263,12,val
13,0.7423974276,13,val
14,0.757663548,14,val
15,0.7411295176,15,val
16,0.7472724319,16,val
17,0.7326545715,17,val
18,0.7476340532,18,val
19,0.7404716015,19,val
20,0.7394242287,20,val
21,0.7374260426,21,val
22,0.7378410697000001,22,val
23,0.7381764054000001,23,val
24,0.7365084291,24,val
