index,sensitivity_at_specificity,epoch,stage
0,0.8053358197,0,train
1,0.869574964,1,train
2,0.8975018263000001,2,train
3,0.9163442850000001,3,train
4,0.9328907728,4,train
5,0.9457186460000001,5,train
6,0.9544785023000001,6,train
7,0.96291399,7,train
8,0.9688786864000001,8,train
9,0.9746437669,9,train
10,0.9788864255,10,train
11,0.9824053645,11,train
12,0.9856747389,12,train
13,0.9874716401,13,train
14,0.9892934561000001,14,train
15,0.9912650585,15,train
16,0.9920387268,16,train
17,0.9944345951,17,train
18,0.9947341084,18,train
19,0.9956824183,19,train
20,0.9964560866000001,20,train
21,0.997030139,21,train
22,0.9973795414000001,22,train
23,0.9976291060000001,23,train
24,0.9979285598000001,24,train
0,0.8432182074000001,0,val
1,0.8483536243,1,val
2,0.8589265943000001,2,val
3,0.8540932536,3,val
4,0.8576175570000001,4,val
5,0.8541939259,5,val
6,0.8546974063,6,val
7,0.8483536243,7,val
8,0.8512737751,8,val
9,0.847145319,9,val
10,0.8458362818,10,val
11,0.8481522799000001,11,val
12,0.8473466635,12,val
13,0.8427147269,13,val
14,0.8409022093,14,val
15,0.8388883471,15,val
16,0.8383848667,16,val
17,0.8369751573,17,val
18,0.8328466415,18,val
19,0.8253952265000001,19,val
20,0.8319404125000001,20,val
21,0.8311348557,21,val
22,0.8273084164000001,22,val
23,0.8272077441,23,val
24,0.8266035914000001,24,val
