index,specificity_at_sensitivity,epoch,stage
0,0.8014324903000001,0,train
1,0.87541008,1,train
2,0.9025568962,2,train
3,0.9230422378,3,train
4,0.9405725002,4,train
5,0.9520923495,5,train
6,0.961258173,6,train
7,0.9686208963,7,train
8,0.9748315811,8,train
9,0.979414463,9,train
10,0.9831960201000001,10,train
11,0.9849991202,11,train
12,0.9880293608,12,train
13,0.9900077581000001,13,train
14,0.9920613170000001,14,train
15,0.9930630326000001,15,train
16,0.9939646125,16,train
17,0.995016396,17,train
18,0.9954922199,18,train
19,0.9966191649,19,train
20,0.9965440631,20,train
21,0.9975958467,21,train
22,0.9974455833,22,train
23,0.99774611,23,train
24,0.9984222651,24,train
0,0.8427847624,0,test
1,0.857781291,1,test
2,0.8634422421,2,test
3,0.8572847247000001,3,test
4,0.8571854234,4,test
5,0.8576819897,5,test
6,0.8586751223,6,test
7,0.8543052673,7,test
8,0.850233376,8,test
9,0.8513258696,9,test
10,0.8370245099,10,test
11,0.8451683521000001,11,test
12,0.8341444135,12,test
13,0.8382163048,13,test
14,0.8308669925000001,14,test
15,0.8370245099,15,test
16,0.8237163424,16,test
17,0.8308669925000001,17,test
18,0.8274903297,18,test
19,0.8335484862,19,test
20,0.8310656548,20,test
21,0.8340451121,21,test
22,0.8281854987,22,test
23,0.8281854987,23,test
24,0.8241136074000001,24,test
