index,auc,epoch,stage
0,0.7320876718,0,train
1,0.790863812,1,train
2,0.8174275160000001,2,train
3,0.8395514488,3,train
4,0.8579051495000001,4,train
5,0.8739434481,5,train
6,0.8875034451,6,train
7,0.8997846842,7,train
8,0.9096621275000001,8,train
9,0.9191811681000001,9,train
10,0.9264010191000001,10,train
11,0.9331181049,11,train
12,0.9402850866,12,train
13,0.9445623755,13,train
14,0.9496726394,14,train
15,0.9539569616,15,train
16,0.9579241872,16,train
17,0.9612478614000001,17,train
18,0.9644753933,18,train
19,0.9673188329,19,train
20,0.9697983861,20,train
21,0.9721120596,21,train
22,0.9744024873,22,train
23,0.9762763381,23,train
24,0.9776498079,24,train
0,0.7696641088,0,test
1,0.7791875601,1,test
2,0.7844601870000001,2,test
3,0.7849462628,3,test
4,0.7832829356000001,4,test
5,0.7811108232,5,test
6,0.7796310782,6,test
7,0.7762799859,7,test
8,0.7734484076,8,test
9,0.7699337006,9,test
10,0.7708492875,10,test
11,0.7669643164000001,11,test
12,0.7577884197,12,test
13,0.7639138699,13,test
14,0.7606381774000001,14,test
15,0.7585123777,15,test
16,0.7570499778,16,test
17,0.7546133995000001,17,test
18,0.7418752909,18,test
19,0.7516604662,19,test
20,0.7415477037,20,test
21,0.7489627600000001,21,test
22,0.7459909916,22,test
23,0.7397226095,23,test
24,0.7420575023,24,test
