index,binary_accuracy,epoch,stage
0,0.6668249965,0,train
1,0.7162374854,1,train
2,0.7389749885,2,train
3,0.7586374879000001,3,train
4,0.7753250003000001,4,train
5,0.7919499874,5,train
6,0.8049499989000001,6,train
7,0.8163250089,7,train
8,0.8290625215,8,train
9,0.8377000093,9,train
10,0.8489375114000001,10,train
11,0.8567000031,11,train
12,0.8649250269000001,12,train
13,0.8711249828000001,13,train
14,0.8790249825,14,train
15,0.884649992,15,train
16,0.8905249834000001,16,train
17,0.8957250118000001,17,train
18,0.9024124742,18,train
19,0.9057124853,19,train
20,0.9086874723,20,train
21,0.9154000282,21,train
22,0.9178749919,22,train
23,0.9207875133000001,23,train
24,0.9243500233,24,train
0,0.6850000024,0,val
1,0.6945499778,1,val
2,0.7007499933,2,val
3,0.7052999735000001,3,val
4,0.7019500136,4,val
5,0.7032499909000001,5,val
6,0.7063999772,6,val
7,0.6901000142,7,val
8,0.7003999949,8,val
9,0.6991000175000001,9,val
10,0.6878499985000001,10,val
11,0.6934000254,11,val
12,0.6967999935,12,val
13,0.6887000203,13,val
14,0.6911500096000001,14,val
15,0.6948999763,15,val
16,0.6923000216,16,val
17,0.6895999908,17,val
18,0.685649991,18,val
19,0.6906499863000001,19,val
20,0.6886000037000001,20,val
21,0.6904000044,21,val
22,0.6824499965,22,val
23,0.6879500151,23,val
24,0.6851500273000001,24,val
