index,cost_metric,epoch,stage
0,-108.9646530151,0,train
1,-88.0606689453,1,train
2,-78.535697937,2,train
3,-71.4230041504,3,train
4,-65.9821548462,4,train
5,-60.360118866,5,train
6,-56.4288139343,6,train
7,-53.1330986023,7,train
8,-49.3473777771,8,train
9,-46.6646652222,9,train
10,-43.0098228455,10,train
11,-41.091835022,11,train
12,-38.2799720764,12,train
13,-36.8884811401,13,train
14,-34.0198097229,14,train
15,-32.6677017212,15,train
16,-30.6746482849,16,train
17,-29.1760997772,17,train
18,-27.1456241608,18,train
19,-26.195728302,19,train
20,-25.2691497803,20,train
21,-23.8145294189,21,train
22,-22.8819465637,22,train
23,-21.7597293854,23,train
24,-20.8085441589,24,train
0,-136.2131195068,0,val
1,-126.4626464844,1,val
2,-115.2208023071,2,val
3,-72.0064926147,3,val
4,-117.7421646118,4,val
5,-66.7507019043,5,val
6,-75.7157211304,6,val
7,-137.7155303955,7,val
8,-94.4137878418,8,val
9,-95.5090026855,9,val
10,-139.6846160889,10,val
11,-57.1292037964,11,val
12,-93.7607269287,12,val
13,-120.1971054077,13,val
14,-54.8092422485,14,val
15,-77.6739044189,15,val
16,-106.7782440186,16,val
17,-79.0816497803,17,val
18,-54.9002799988,18,val
19,-82.5545654297,19,val
20,-102.703994751,20,val
21,-80.9276580811,21,val
22,-55.8535766602,22,val
23,-87.9986190796,23,val
24,-86.1686019897,24,val
