index,precision_at_recall,epoch,stage
0,0.7246591449,0,train
1,0.7960130572,1,train
2,0.8316212296000001,2,train
3,0.8582143188,3,train
4,0.8852810860000001,4,train
5,0.9049049616,5,train
6,0.9210742116,6,train
7,0.9344969988,7,train
8,0.9465649128,8,train
9,0.9529334307,9,train
10,0.9620489478,10,train
11,0.9679049253,11,train
12,0.9736589789000001,12,train
13,0.9765556455000001,13,train
14,0.9804996252,14,train
15,0.9830425978,15,train
16,0.9854661226,16,train
17,0.9873876572,17,train
18,0.9896684289000001,18,train
19,0.9911031127000001,19,train
20,0.9917603731,20,train
21,0.9934861064,21,train
22,0.9931104183,22,train
23,0.9948858023,23,train
24,0.9950960875,24,train
0,0.7663077116,0,test
1,0.7793528438,1,test
2,0.7912001014000001,2,test
3,0.7921648622,3,test
4,0.7923125625,4,test
5,0.7862427235,5,test
6,0.7825062871,6,test
7,0.7796001434000001,7,test
8,0.7760984898000001,8,test
9,0.7687701583000001,9,test
10,0.7761240602,10,test
11,0.7684162259,11,test
12,0.7501126528000001,12,test
13,0.7622774839,13,test
14,0.7584636211,14,test
15,0.7546941042,15,test
16,0.7542051673,16,test
17,0.748908639,17,test
18,0.7253336906000001,18,test
19,0.7478613257000001,19,test
20,0.7267711759000001,20,test
21,0.7507154942,21,test
22,0.7448306680000001,22,test
23,0.7256934047,23,test
24,0.7363743782000001,24,test
