index,sensitivity_at_specificity,epoch,stage
0,0.8177643418,0,train
1,0.8607651591000001,1,train
2,0.8879433274,2,train
3,0.9038907886,3,train
4,0.9216601253000001,4,train
5,0.9354363680000001,5,train
6,0.9470663071000001,6,train
7,0.9555766582,7,train
8,0.962639451,8,train
9,0.9669569731000001,9,train
10,0.9710748792,10,train
11,0.9749931097000001,11,train
12,0.9786368608,12,train
13,0.9801342487,13,train
14,0.9820809364,14,train
15,0.9837031364000001,15,train
16,0.9846015573,16,train
17,0.9862737060000001,17,train
18,0.9870722890000001,18,train
19,0.9879208207000001,19,train
20,0.9891437292,20,train
21,0.9895929694000001,21,train
22,0.9904415011000001,22,train
23,0.991140306,23,train
24,0.9909406304,24,train
0,0.8440237641,0,test
1,0.8487564325,1,test
2,0.8558050394000001,2,test
3,0.8585237861,3,test
4,0.8548988104,4,test
5,0.8556036949,5,test
6,0.85439533,6,test
7,0.8504682183000001,7,test
8,0.8444265723000001,8,test
9,0.8419091702,9,test
10,0.8387876153,10,test
11,0.8376799822000001,11,test
12,0.8377807140000001,12,test
13,0.8350619078,13,test
14,0.8311348557,14,test
15,0.8309334517,15,test
16,0.8303292990000001,16,test
17,0.8268049359,17,test
18,0.8263014555,18,test
19,0.8276104927,19,test
20,0.8234820366000001,20,test
21,0.8232806325,21,test
22,0.8204611540000001,22,test
23,0.8179438114,23,test
24,0.8181452155000001,24,test
