index,specificity_at_sensitivity,epoch,stage
0,0.8093211055,0,train
1,0.8700758815,1,train
2,0.8981993794,2,train
3,0.9162054658000001,3,train
4,0.9344369173,4,train
5,0.9468833804000001,5,train
6,0.9565750957,6,train
7,0.9646640420000001,7,train
8,0.9716010094,8,train
9,0.9749067426,9,train
10,0.9801657796000001,10,train
11,0.9832962155,11,train
12,0.9862512946,12,train
13,0.9879041314,13,train
14,0.9899326563,14,train
15,0.9912849665000001,15,train
16,0.9925621748000001,16,train
17,0.9934637547,17,train
18,0.9947409034,18,train
19,0.9954171181,19,train
20,0.9957426786,20,train
21,0.9966191649,21,train
22,0.9964188337000001,22,train
23,0.9973704815000001,23,train
24,0.9974956512,24,train
0,0.8491409421,0,test
1,0.857781291,1,test
2,0.8685073256,2,test
3,0.8688052297000001,3,test
4,0.8695997596,4,test
5,0.8651306033,5,test
6,0.8624491096,6,test
7,0.8598669171000001,7,test
8,0.8572847247000001,8,test
9,0.8504320383,9,test
10,0.8565895557000001,10,test
11,0.8501340747,11,test
12,0.8347402811,12,test
13,0.8461614847000001,13,test
14,0.8419902921,14,test
15,0.8391101360000001,15,test
16,0.8389115334,16,test
17,0.8343430161000001,17,test
18,0.8119972348000001,18,test
19,0.8331512809,19,test
20,0.8130896688,20,test
21,0.8356341124000001,21,test
22,0.8308669925000001,22,test
23,0.8133876324,23,test
24,0.8232197762,24,test
