index,auc,epoch,stage
0,0.8152412772000001,0,train
1,0.8886662722,1,train
2,0.9275422096,2,train
3,0.9604746699000001,3,train
4,0.9787113070000001,4,train
5,0.9877452254,5,train
6,0.9925704002000001,6,train
7,0.9949572086,7,train
8,0.9965581894000001,8,train
9,0.9974974394,9,train
10,0.9980226159000001,10,train
11,0.9984153509,11,train
12,0.9987005591,12,train
13,0.9989678264,13,train
14,0.9990105033000001,14,train
15,0.9991873503,15,train
16,0.9992377162,16,train
17,0.9993968606,17,train
18,0.9993399382,18,train
19,0.9993432164,19,train
20,0.9992799163,20,train
21,0.9992526174,21,train
22,0.9993971586,22,train
23,0.9994169474000001,23,train
24,0.999384582,24,train
0,0.866774857,0,test
1,0.8696069121000001,1,test
2,0.8566108942,2,test
3,0.8435413241,3,test
4,0.8292202353,4,test
5,0.8165144324,5,test
6,0.8147016764,6,test
7,0.8096032739,7,test
8,0.7948876619,8,test
9,0.8006955385000001,9,test
10,0.8045341372,10,test
11,0.8061408401,11,test
12,0.8050996065,12,test
13,0.8048073053,13,test
14,0.8012202978,14,test
15,0.7963891625,15,test
16,0.7937318087,16,test
17,0.7981799245000001,17,test
18,0.8045295477000001,18,test
19,0.8037841916,19,test
20,0.7984394431,20,test
21,0.8036208749,21,test
22,0.7956774235,22,test
23,0.8005902171,23,test
24,0.787268877,24,test
