index,binary_accuracy,epoch,stage
0,0.7335625291,0,train
1,0.8073250055000001,1,train
2,0.8522874713,2,train
3,0.8984125257000001,3,train
4,0.9282125235,4,train
5,0.9480749965,5,train
6,0.9605125189,6,train
7,0.9693999887,7,train
8,0.9754375219,8,train
9,0.9799000025000001,9,train
10,0.9831374884,10,train
11,0.9853125215,11,train
12,0.9872875214000001,12,train
13,0.9891499877000001,13,train
14,0.9907125235,14,train
15,0.9913499951,15,train
16,0.9921749830000001,16,train
17,0.9927999973,17,train
18,0.9930250049,18,train
19,0.9938625097,19,train
20,0.9939374924000001,20,train
21,0.9940750003000001,21,train
22,0.9945374727,22,train
23,0.9950500131000001,23,train
24,0.9950249791,24,train
0,0.7837499976000001,0,test
1,0.7874500155,1,test
2,0.7773500085,2,test
3,0.7651000023000001,3,test
4,0.7594500184,4,test
5,0.7450000048000001,5,test
6,0.7487000227,6,test
7,0.7395499945,7,test
8,0.7251999974000001,8,test
9,0.7365000248,9,test
10,0.7423999906000001,10,test
11,0.7456499934,11,test
12,0.7436500192000001,12,test
13,0.7411999702000001,13,test
14,0.7365999818000001,14,test
15,0.7386999726,15,test
16,0.7351499796000001,16,test
17,0.7455000281,17,test
18,0.7480999827,18,test
19,0.7497000098000001,19,test
20,0.7397500277,20,test
21,0.7447000146,21,test
22,0.7396000028,22,test
23,0.7448499799,23,test
24,0.7332999706000001,24,test
