index,cost_metric,epoch,stage
0,-76.8005371094,0,train
1,-49.7958755493,1,train
2,-36.6885185242,2,train
3,-25.274679184,3,train
4,-17.3855400085,4,train
5,-12.7448196411,5,train
6,-9.2892961502,6,train
7,-7.2380065918,7,train
8,-5.9619812965,8,train
9,-4.60851717,9,train
10,-3.8821954727,10,train
11,-3.6001486778,11,train
12,-3.0003068447,12,train
13,-2.4964957237,13,train
14,-2.2819955349,14,train
15,-2.045955658,15,train
16,-1.95738554,16,train
17,-1.6470174789,17,train
18,-1.7557421923,18,train
19,-1.5244677066999999,19,train
20,-1.3291200399,20,train
21,-1.2585446835,21,train
22,-1.2938053608,22,train
23,-1.247344017,23,train
24,-1.2172360420000001,24,train
0,-62.425163269,0,val
1,-65.1586380005,1,val
2,-72.1043167114,2,val
3,-49.1784744263,3,val
4,-66.5882110596,4,val
5,-66.6963119507,5,val
6,-51.4509849548,6,val
7,-99.4236221313,7,val
8,-76.9153060913,8,val
9,-53.7625350952,9,val
10,-71.7722167969,10,val
11,-77.2571716309,11,val
12,-75.6521606445,12,val
13,-58.2476768494,13,val
14,-55.285861969,14,val
15,-54.0147399902,15,val
16,-61.4920082092,16,val
17,-64.6193695068,17,val
18,-75.7881317139,18,val
19,-75.8111877441,19,val
20,-87.8492050171,20,val
21,-57.9258499146,21,val
22,-60.6686553955,22,val
23,-70.9373703003,23,val
24,-67.5495071411,24,val
