index,loss,epoch,stage
0,0.5251646638,0,train
1,0.42138740420000004,1,train
2,0.3435043097,2,train
3,0.2538475394,3,train
4,0.1852622628,4,train
5,0.1382680088,5,train
6,0.1062152088,6,train
7,0.0847079605,7,train
8,0.0679068044,8,train
9,0.0558640696,9,train
10,0.048566497900000005,10,train
11,0.041887223700000004,11,train
12,0.0364433266,12,train
13,0.0314510241,13,train
14,0.0278733578,14,train
15,0.0256792996,15,train
16,0.024051176400000002,16,train
17,0.021031469100000002,17,train
18,0.0213474464,18,train
19,0.0192699451,19,train
20,0.019394880200000002,20,train
21,0.019151300200000002,21,train
22,0.0171080604,22,train
23,0.0160506126,23,train
24,0.0158029236,24,train
0,0.4569297731,0,test
1,0.4671554565,1,test
2,0.5244511366,2,test
3,0.6216264367000001,3,test
4,0.7448700070000001,4,test
5,0.749986589,5,test
6,0.9058765769,6,test
7,0.9433354735,7,test
8,1.0340540409,8,test
9,1.0741981268,9,test
10,1.1262509823,10,test
11,1.1762546301,11,test
12,1.2502692938,12,test
13,1.30157125,13,test
14,1.3455189466,14,test
15,1.4380706549,15,test
16,1.468812108,16,test
17,1.5597223043000001,17,test
18,1.4957948923,18,test
19,1.7116117477000001,19,test
20,1.5361353159,20,test
21,1.4646371603000001,21,test
22,1.6462118626,22,test
23,1.7469626665,23,test
24,1.801053524,24,test
