index,precision_at_recall,epoch,stage
0,0.8328185081,0,train
1,0.9309993386000001,1,train
2,0.9680091739000001,2,train
3,0.9869971871000001,3,train
4,0.9960905313,4,train
5,0.9984829426,5,train
6,0.9985455871000001,6,train
7,0.9991400838000001,7,train
8,0.9993031621,8,train
9,0.999260664,9,train
10,0.9990712404000001,10,train
11,0.9993545413,11,train
12,0.9992830753,12,train
13,0.9993266463,13,train
14,0.9994201064,14,train
15,0.9995642304000001,15,train
16,0.9994851351,16,train
17,0.9995719194,17,train
18,0.9993280172000001,18,train
19,0.9996276498000001,19,train
20,0.9995769858,20,train
21,0.9995524287,21,train
22,0.9993445277,22,train
23,0.9996323586,23,train
24,0.9995031357,24,train
0,0.9025808573,0,val
1,0.9038913846000001,1,val
2,0.8805521131,2,val
3,0.8558974266,3,val
4,0.841574192,4,val
5,0.8307692409,5,val
6,0.8224345446,6,val
7,0.7990109921,7,val
8,0.8039120436,8,val
9,0.8280964494,9,val
10,0.8111546040000001,10,val
11,0.7989130616,11,val
12,0.8045701385,12,val
13,0.8232373595,13,val
14,0.8179579973000001,14,val
15,0.8149058223000001,15,val
16,0.8164972067,16,val
17,0.8102024198000001,17,val
18,0.7972803712000001,18,val
19,0.8051083684,19,val
20,0.7936928868,20,val
21,0.8232603669,21,val
22,0.8119310737000001,22,val
23,0.8190783858,23,val
24,0.8154665828000001,24,val
