index,recall,epoch,stage
0,0.7160148621,0,train
1,0.7925328612,1,train
2,0.839127481,2,train
3,0.8911128044000001,3,train
4,0.9247049093,4,train
5,0.94484514,5,train
6,0.9582719803,6,train
7,0.9678554535,7,train
8,0.9739948511000001,8,train
9,0.9783872962000001,9,train
10,0.9821308255000001,10,train
11,0.9847762585000001,11,train
12,0.9866230488000001,12,train
13,0.9889191389,13,train
14,0.9901170731000001,14,train
15,0.9909406304,15,train
16,0.9916144609,16,train
17,0.9921385646,17,train
18,0.9921385646,18,train
19,0.9932866096,19,train
20,0.9933863878,20,train
21,0.9935111999999999,21,train
22,0.9937857389,22,train
23,0.9942848682000001,23,train
24,0.9945344329,24,train
0,0.7927700877,0,test
1,0.8022354245000001,1,test
2,0.7791762948000001,2,test
3,0.781693697,3,test
4,0.7328566909,4,test
5,0.7656832337,5,test
6,0.6974121332000001,6,test
7,0.6794884801000001,7,test
8,0.6409223676,8,test
9,0.6962038279,9,test
10,0.7251031995,10,test
11,0.7239955664000001,11,test
12,0.7157385945,12,test
13,0.6960024238,13,test
14,0.7173497081,14,test
15,0.7035545111,15,test
16,0.7602456808,16,test
17,0.7654818296,17,test
18,0.7175511122,18,test
19,0.7710200548,19,test
20,0.7186587453000001,20,test
21,0.7443358898,21,test
22,0.6977142096000001,22,test
23,0.7721276879000001,23,test
24,0.7160406709,24,test
