index,sensitivity_at_specificity,epoch,stage
0,0.8954054117,0,train
1,0.94971174,1,train
2,0.9739948511000001,2,train
3,0.9887943268,3,train
4,0.9953081012,4,train
5,0.998103261,5,train
6,0.9991015792000001,6,train
7,0.9990766048,7,train
8,0.9992263317000001,8,train
9,0.9992762208,9,train
10,0.9991514683,10,train
11,0.9995507598000001,11,train
12,0.9994509220000001,12,train
13,0.9993511438,13,train
14,0.9993760586,14,train
15,0.9993760586,15,train
16,0.9995258451000001,16,train
17,0.9995008707,17,train
18,0.9994509220000001,18,train
19,0.9995507598000001,19,train
20,0.9997005463,20,train
21,0.9994758964,21,train
22,0.9995258451000001,22,train
23,0.9995757341,23,train
24,0.9996256232,24,train
0,0.9392810464,0,val
1,0.9421004653,1,val
2,0.9320310354,2,val
3,0.9189406633,3,val
4,0.9102809429000001,4,val
5,0.8968885541,5,val
6,0.8824892044,6,val
7,0.8849058747,7,val
8,0.8861141801,8,val
9,0.8859127760000001,9,val
10,0.8920551538,10,val
11,0.8836975098000001,11,val
12,0.8916524053,12,val
13,0.8811801672,13,val
14,0.8800724745,14,val
15,0.8776558042,15,val
16,0.8833954334,16,val
17,0.885006547,17,val
18,0.8918538094,18,val
19,0.883798182,19,val
20,0.8968885541,20,val
21,0.8686940074,21,val
22,0.8763467669,22,val
23,0.8858121037000001,23,val
24,0.8885308504,24,val
