index,specificity_at_sensitivity,epoch,stage
0,0.8983496428000001,0,train
1,0.9626856446000001,1,train
2,0.9832711220000001,2,train
3,0.9933134913,3,train
4,0.9979965687000001,4,train
5,0.9992236495000001,5,train
6,0.9990984201,6,train
7,0.9993989468000001,7,train
8,0.9994741082,8,train
9,0.9993989468000001,9,train
10,0.9992236495000001,10,train
11,0.9994490743000001,11,train
12,0.9993739128,12,train
13,0.9993989468000001,13,train
14,0.9994741082,14,train
15,0.9995993376000001,15,train
16,0.9995241761,16,train
17,0.9995993376000001,17,train
18,0.9993739128,18,train
19,0.9996494055,19,train
20,0.9995993376000001,20,train
21,0.9995742440000001,21,train
22,0.9993739128,22,train
23,0.9996494055,23,train
24,0.9995241761,24,train
0,0.9467673302,0,val
1,0.9472638965,1,val
2,0.9329625368000001,2,val
3,0.9162777066000001,3,val
4,0.9064455032000001,4,val
5,0.898401022,5,val
6,0.8929387331,6,val
7,0.8748634458000001,7,val
8,0.8795312047,8,val
9,0.897308588,9,val
10,0.8849935532000001,10,val
11,0.8750620484,11,val
12,0.8785380721,12,val
13,0.8939318657,13,val
14,0.8898599744000001,14,val
15,0.8877743483,15,val
16,0.8888668418000001,16,val
17,0.8836031556,17,val
18,0.8711888194,18,val
19,0.8749627471,19,val
20,0.8609593511,20,val
21,0.8925414681,21,val
22,0.8850928545000001,22,val
23,0.8888668418000001,23,val
24,0.8864832520000001,24,val
