index,auc,epoch,stage
0,0.8129010201,0,train
1,0.8884530067,1,train
2,0.9259818196,2,train
3,0.9605532289000001,3,train
4,0.9787276387,4,train
5,0.9878967999999999,5,train
6,0.9923477769000001,6,train
7,0.9951375127000001,7,train
8,0.9966017604,8,train
9,0.9974082112,9,train
10,0.998044908,10,train
11,0.9984208941,11,train
12,0.998770833,12,train
13,0.9990232587000001,13,train
14,0.9990732074,14,train
15,0.9991984963,15,train
16,0.9992982745000001,16,train
17,0.9993374944000001,17,train
18,0.9992384911000001,18,train
19,0.9993482828,19,train
20,0.9993415475,20,train
21,0.9993221760000001,21,train
22,0.9993872643,22,train
23,0.9994232059,23,train
24,0.9994509220000001,24,train
0,0.8671512008000001,0,val
1,0.8687890172,1,val
2,0.8565896153,2,val
3,0.8427152038,3,val
4,0.8282171488000001,4,val
5,0.8157057762000001,5,val
6,0.8128637075,6,val
7,0.8020102382000001,7,val
8,0.8066182733,8,val
9,0.7999014258,9,val
10,0.7975921631,10,val
11,0.8022307754,11,val
12,0.8036277890000001,12,val
13,0.7968651652000001,13,val
14,0.7958526015,14,val
15,0.7887861133,15,val
16,0.7947487235,16,val
17,0.7886953354,17,val
18,0.7996433377000001,18,val
19,0.7893328071,19,val
20,0.793636024,20,val
21,0.7859938741,21,val
22,0.7990913391000001,22,val
23,0.7981501818000001,23,val
24,0.7976298332,24,val
