index,binary_accuracy,epoch,stage
0,0.7321125269000001,0,train
1,0.8074374795,1,train
2,0.8503875136,2,train
3,0.8981124759,3,train
4,0.9285500050000001,4,train
5,0.9478625059,5,train
6,0.9606375098000001,6,train
7,0.9695875049,7,train
8,0.9754750133000001,8,train
9,0.9798125029,9,train
10,0.9837625027,10,train
11,0.9852874875000001,11,train
12,0.9874874949,12,train
13,0.9891374707,13,train
14,0.9903125167000001,14,train
15,0.9911000133000001,15,train
16,0.9916874766,16,train
17,0.9930999875000001,17,train
18,0.9929875135,18,train
19,0.9938125014,19,train
20,0.9937750101,20,train
21,0.9941750169,21,train
22,0.9944624901,22,train
23,0.9946249723,23,train
24,0.9951375127000001,24,train
0,0.7811999917,0,val
1,0.7856000066000001,1,val
2,0.7731000185,2,val
3,0.7675999999,3,val
4,0.7547500134,4,val
5,0.747699976,5,val
6,0.7419999838,6,val
7,0.7265999913000001,7,val
8,0.7391999960000001,8,val
9,0.7384499907000001,9,val
10,0.7384999990000001,10,val
11,0.7458000183,11,val
12,0.7468000054,12,val
13,0.7370499969000001,13,val
14,0.7351999879000001,14,val
15,0.7286999822,15,val
16,0.7383000255000001,16,val
17,0.7311000228,17,val
18,0.7409499884,18,val
19,0.7328000069,19,val
20,0.7380999923,20,val
21,0.7278000116000001,21,val
22,0.7450500131000001,22,val
23,0.7419000268,23,val
24,0.7363499999,24,val
