index,cost_metric,epoch,stage
0,-79.6412124634,0,train
1,-48.8284912109,1,train
2,-35.9804496765,2,train
3,-24.5604400635,3,train
4,-16.9425182343,4,train
5,-12.4445438385,5,train
6,-9.2969341278,6,train
7,-7.6687045097,7,train
8,-5.5155363083,8,train
9,-4.7985830307,9,train
10,-3.8462381363,10,train
11,-3.2549564838,11,train
12,-2.8297264576,12,train
13,-2.4761059284,13,train
14,-2.3378686905,14,train
15,-1.9957437515,15,train
16,-1.7806864977,16,train
17,-1.7190374136000002,17,train
18,-1.6760866642,18,train
19,-1.4386454821,19,train
20,-1.3163673878,20,train
21,-1.3677395582,21,train
22,-1.228399992,22,train
23,-1.2159860134,23,train
24,-1.0998296738,24,train
0,-59.5553436279,0,test
1,-55.6182327271,1,test
2,-57.2585105896,2,test
3,-52.4923286438,3,test
4,-53.671169281,4,test
5,-47.4052734375,5,test
6,-55.7796936035,6,test
7,-56.3421363831,7,test
8,-56.3403434753,8,test
9,-61.5531921387,9,test
10,-51.8904762268,10,test
11,-71.4120178223,11,test
12,-64.7223205566,12,test
13,-49.9537315369,13,test
14,-52.0620994568,14,test
15,-68.2006988525,15,test
16,-86.5350799561,16,test
17,-74.751449585,17,test
18,-60.3329467773,18,test
19,-64.7572860718,19,test
20,-71.4334182739,20,test
21,-63.9358940125,21,test
22,-60.4310531616,22,test
23,-59.2440185547,23,test
24,-74.8533706665,24,test
