index,precision_at_recall,epoch,stage
0,0.8368841410000001,0,train
1,0.9319350123000001,1,train
2,0.9660855532,2,train
3,0.9871475101,3,train
4,0.9954156876,4,train
5,0.9983296394000001,5,train
6,0.9988972545,6,train
7,0.9989157319,7,train
8,0.9995146990000001,8,train
9,0.9992563128,9,train
10,0.9994096756,10,train
11,0.9992821813,11,train
12,0.9995207191000001,12,train
13,0.9993922114,13,train
14,0.9994495511,14,train
15,0.9994834661,15,train
16,0.9994339943,16,train
17,0.9996793270000001,17,train
18,0.9996011853000001,18,train
19,0.9994702935,19,train
20,0.9996311069,20,train
21,0.9994233847,21,train
22,0.9996601343,22,train
23,0.9995837808,23,train
24,0.9995070696,24,train
0,0.9031028748000001,0,test
1,0.8996383548,1,test
2,0.8792194128,2,test
3,0.8564568758000001,3,test
4,0.8335279226000001,4,test
5,0.8333891034,5,test
6,0.7962017059000001,6,test
7,0.8042387962,7,test
8,0.8065084815,8,test
9,0.8105987906000001,9,test
10,0.7931970358,10,test
11,0.8089523315,11,test
12,0.8161180615,12,test
13,0.8073483706,13,test
14,0.8093302846,14,test
15,0.8045361638,15,test
16,0.7779152393000001,16,test
17,0.7925049663,17,test
18,0.8078044057,18,test
19,0.8088809252,19,test
20,0.7997106314,20,test
21,0.8192453384,21,test
22,0.811042726,22,test
23,0.8036434054,23,test
24,0.7930765748,24,test
