index,sensitivity_at_specificity,epoch,stage
0,0.8925603628000001,0,train
1,0.9501609802000001,1,train
2,0.9736454487,2,train
3,0.9896178842000001,3,train
4,0.9965060353,4,train
5,0.9979535341,5,train
6,0.9993011951,6,train
7,0.9991764426,7,train
8,0.9993261695000001,8,train
9,0.9992513061,9,train
10,0.9994260073000001,10,train
11,0.9993511438,11,train
12,0.9993511438,12,train
13,0.9995008707,13,train
14,0.9995008707,14,train
15,0.9994010329,15,train
16,0.9994260073000001,16,train
17,0.9994010329,17,train
18,0.9995507598000001,18,train
19,0.9991764426,19,train
20,0.9995757341,20,train
21,0.9995008707,21,train
22,0.9994260073000001,22,train
23,0.9995008707,23,train
24,0.9994758964,24,train
0,0.9377706051,0,test
1,0.9422011971,1,test
2,0.9319303036000001,2,test
3,0.9154163599,3,test
4,0.8996073008000001,4,test
5,0.9006142616,5,test
6,0.8836975098000001,6,test
7,0.8762460947,7,test
8,0.8770516515000001,8,test
9,0.8900412917,9,test
10,0.8678884506000001,10,test
11,0.8802738786000001,11,test
12,0.892457962,12,test
13,0.8675863743000001,13,test
14,0.8624508977,14,test
15,0.8819857240000001,15,test
16,0.8740308285,16,test
17,0.8807773590000001,17,test
18,0.8732252717000001,18,test
19,0.8891350031,19,test
20,0.8686940074,20,test
21,0.8918538094,21,test
22,0.875641942,22,test
23,0.8680897951000001,23,test
24,0.8892357349000001,24,test
