index,specificity_at_sensitivity,epoch,stage
0,0.9018306732,0,train
1,0.9631865025,1,train
2,0.9821692705,2,train
3,0.9932883978,3,train
4,0.9975958467,4,train
5,0.9991485476,5,train
6,0.9993238449,6,train
7,0.9992486835000001,7,train
8,0.9996243715,8,train
9,0.9993989468000001,9,train
10,0.9994991422,10,train
11,0.9993739128,11,train
12,0.9995742440000001,12,train
13,0.9994490743000001,13,train
14,0.9994991422,14,train
15,0.9995241761,15,train
16,0.9994741082,16,train
17,0.9996994734,17,train
18,0.9996243715,18,train
19,0.9994991422,19,train
20,0.9996494055,20,train
21,0.9994490743000001,21,train
22,0.9996744394,22,train
23,0.9995993376000001,23,train
24,0.9995241761,24,train
0,0.9469659328000001,0,test
1,0.9448803067,1,test
2,0.9317708015,2,test
3,0.9168735743,3,test
4,0.900883913,4,test
5,0.9010825157000001,5,test
6,0.8731750846,6,test
7,0.8798291683,7,test
8,0.8809216619,8,test
9,0.8844969869,9,test
10,0.8713874221000001,10,test
11,0.8830072284,11,test
12,0.8873770833,12,test
13,0.8823120594,13,test
14,0.8835037947000001,14,test
15,0.8767504096000001,15,test
16,0.8573840261000001,16,test
17,0.8658257723,17,test
18,0.8821133971,18,test
19,0.883305192,19,test
20,0.8762538433,20,test
21,0.8910517693000001,21,test
22,0.8840997219000001,22,test
23,0.8790346384000001,23,test
24,0.8682093620000001,24,test
