index,auc,epoch,stage
0,0.8134172559,0,train
1,0.8888070583000001,1,train
2,0.9272258878,2,train
3,0.9603493810000001,3,train
4,0.9786946774,4,train
5,0.9874734879,5,train
6,0.9923985004,6,train
7,0.9951276183000001,7,train
8,0.9964883924000001,8,train
9,0.9975795746,9,train
10,0.9979590178000001,10,train
11,0.9985100627000001,11,train
12,0.998717308,12,train
13,0.9989753366,13,train
14,0.9990245104000001,14,train
15,0.9991102815,15,train
16,0.9990318418,16,train
17,0.9992101192,17,train
18,0.9992120862,18,train
19,0.9994401932,19,train
20,0.9993143678,20,train
21,0.9993323684000001,21,train
22,0.9993907809,22,train
23,0.9994175434,23,train
24,0.9994083643,24,train
0,0.8679732680000001,0,val
1,0.8700893521,1,val
2,0.8535933495,2,val
3,0.8352071643000001,3,val
4,0.8258507252,4,val
5,0.8227675557,5,val
6,0.8172663450000001,6,val
7,0.8116693497,7,val
8,0.809288919,8,val
9,0.806806922,9,val
10,0.8068029284,10,val
11,0.8092116117,11,val
12,0.8080359697,12,val
13,0.8077712655,13,val
14,0.8060871363000001,14,val
15,0.8029687405,15,val
16,0.8037550449,16,val
17,0.8033747673,17,val
18,0.8036146164,18,val
19,0.7908233404,19,val
20,0.8039417863,20,val
21,0.8003211021000001,21,val
22,0.797760129,22,val
23,0.7925002575000001,23,val
24,0.8018680811000001,24,val
