index,binary_accuracy,epoch,stage
0,0.7320125103,0,train
1,0.8096250296,1,train
2,0.8516250253000001,2,train
3,0.8976625204,3,train
4,0.9286749959,4,train
5,0.9476125240000001,5,train
6,0.9613000154,6,train
7,0.9688374996,7,train
8,0.9752749801,8,train
9,0.9797875285000001,9,train
10,0.9831874967,10,train
11,0.9856874943,11,train
12,0.9875125289000001,12,train
13,0.9894999862,13,train
14,0.9899874926000001,14,train
15,0.9909625053000001,15,train
16,0.9917625189,16,train
17,0.9925500154,17,train
18,0.9929875135,18,train
19,0.9935125113000001,19,train
20,0.9940750003000001,20,train
21,0.9939875007000001,21,train
22,0.9940000176,22,train
23,0.9945374727,23,train
24,0.9947249889,24,train
0,0.7833499908,0,val
1,0.78549999,1,val
2,0.7662500143000001,2,val
3,0.7536000013,3,val
4,0.7391499877000001,4,val
5,0.7504000068000001,5,val
6,0.7460500002,6,val
7,0.7451000214,7,val
8,0.7426999807,8,val
9,0.7406499982,9,val
10,0.7426999807,10,val
11,0.7468500137,11,val
12,0.7436000109,12,val
13,0.7498999834000001,13,val
14,0.7473999858,14,val
15,0.747699976,15,val
16,0.743449986,16,val
17,0.7454000115,17,val
18,0.7445999980000001,18,val
19,0.7407500148,19,val
20,0.7493500113,20,val
21,0.7449499965,21,val
22,0.7375500202,22,val
23,0.736800015,23,val
24,0.7455999851,24,val
