index,cost_metric,epoch,stage
0,-75.5827102661,0,train
1,-48.6127281189,1,train
2,-37.223777771,2,train
3,-25.6451854706,3,train
4,-17.6790180206,4,train
5,-12.8615999222,5,train
6,-9.5575799942,6,train
7,-7.6027817726,7,train
8,-5.9064249992,8,train
9,-4.8985776901,9,train
10,-3.7530150414,10,train
11,-3.2144651413,11,train
12,-2.7557327747,12,train
13,-2.5028457642,13,train
14,-2.1943204403,14,train
15,-1.8756064177,15,train
16,-1.8125064373000002,16,train
17,-1.7672208548000001,17,train
18,-1.6015065908000001,18,train
19,-1.5043607950000002,19,train
20,-1.2786681652,20,train
21,-1.1750695705,21,train
22,-1.1667623520000001,22,train
23,-1.0107843876,23,train
24,-1.1127904654,24,train
0,-56.6371383667,0,test
1,-66.5886688232,1,test
2,-77.1195755005,2,test
3,-61.3479576111,3,test
4,-59.9544410706,4,test
5,-90.9900665283,5,test
6,-51.9455718994,6,test
7,-71.9264907837,7,test
8,-78.3204269409,8,test
9,-52.5234947205,9,test
10,-65.6273345947,10,test
11,-74.437171936,11,test
12,-73.9869537354,12,test
13,-83.6704864502,13,test
14,-67.6413879395,14,test
15,-53.4180870056,15,test
16,-66.6706237793,16,test
17,-72.2878417969,17,test
18,-60.9821853638,18,test
19,-64.0463562012,19,test
20,-84.5670394897,20,test
21,-85.2141876221,21,test
22,-80.0285797119,22,test
23,-83.525894165,23,test
24,-65.4492492676,24,test
