index,loss,epoch,stage
0,0.5267987251,0,train
1,0.42104116080000004,1,train
2,0.3437761366,2,train
3,0.2539841533,3,train
4,0.18452624980000001,4,train
5,0.13909570870000001,5,train
6,0.10614331070000001,6,train
7,0.083730869,7,train
8,0.06814926860000001,8,train
9,0.055707477000000005,9,train
10,0.0485497899,10,train
11,0.0407121666,11,train
12,0.0358204544,12,train
13,0.0314119048,13,train
14,0.028590383,14,train
15,0.026408508400000003,15,train
16,0.0251435302,16,train
17,0.0229187086,17,train
18,0.0217141248,18,train
19,0.0194122568,19,train
20,0.018650004600000002,20,train
21,0.0185880214,21,train
22,0.0181826577,22,train
23,0.0167787541,23,train
24,0.016382359000000003,24,train
0,0.4566567838,0,val
1,0.46398705240000004,1,val
2,0.5261593461,2,val
3,0.6396185756,3,val
4,0.7461351752000001,4,val
5,0.8176057935000001,5,val
6,0.8436141610000001,6,val
7,0.9435783029,7,val
8,0.9907304645,8,val
9,1.1012991667,9,val
10,1.1018794775,10,val
11,1.1851147413,11,val
12,1.2115813494,12,val
13,1.4009022713000001,13,val
14,1.4675154686,14,val
15,1.5433244705,15,val
16,1.4171791077,16,val
17,1.5049716234,17,val
18,1.4720473289,18,val
19,1.9318912029000002,19,val
20,1.6965568066,20,val
21,1.6880099773000001,21,val
22,1.6975994110000001,22,val
23,2.0034556389,23,val
24,1.8733938932,24,val
