index,precision,epoch,stage
0,0.7402482629,0,train
1,0.8189875484,1,train
2,0.8598594069000001,2,train
3,0.9023064375000001,3,train
4,0.9319702387000001,4,train
5,0.9498668313,5,train
6,0.9626426101000001,6,train
7,0.9700741172,7,train
8,0.9767045975,8,train
9,0.9805750251,9,train
10,0.9850791097,10,train
11,0.9873392582,11,train
12,0.9890646338,12,train
13,0.9900695086,13,train
14,0.9913215041000001,14,train
15,0.9925171137000001,15,train
16,0.9928233624,16,train
17,0.9930085540000001,17,train
18,0.9936802387,18,train
19,0.9940308332000001,19,train
20,0.9948988557,20,train
21,0.9953480363,21,train
22,0.9954017401,22,train
23,0.9959996939,23,train
24,0.9956012964000001,24,train
0,0.789013505,0,test
1,0.7723546028,1,test
2,0.7514677048,2,test
3,0.7721518874000001,3,test
4,0.7688994408000001,4,test
5,0.7194566131,5,test
6,0.7730046511,6,test
7,0.7394227982,7,test
8,0.7304555178000001,8,test
9,0.773050487,9,test
10,0.7527518868,10,test
11,0.7296651006,11,test
12,0.7436916232,12,test
13,0.7275747657,13,test
14,0.7490311265,14,test
15,0.7710165381,15,test
16,0.7502372265,16,test
17,0.7409337163,17,test
18,0.7609505057,18,test
19,0.7587886453,19,test
20,0.720497489,20,test
21,0.7270088196000001,21,test
22,0.7281754017000001,22,test
23,0.7253305316,23,test
24,0.7536982298,24,test
