index,recall,epoch,stage
0,0.7099503279,0,train
1,0.7909855247,1,train
2,0.8396016955000001,2,train
3,0.8904389739,3,train
4,0.9248296618,4,train
5,0.9433477521,5,train
6,0.9582220912,6,train
7,0.9667573571,7,train
8,0.9741695523,8,train
9,0.9788864255,9,train
10,0.9820060134,10,train
11,0.9848012328,11,train
12,0.9864234328,12,train
13,0.9878209829000001,13,train
14,0.9892185926,14,train
15,0.9897676706,15,train
16,0.9908907413,16,train
17,0.9925129414,17,train
18,0.9927874207,18,train
19,0.9932866096,19,train
20,0.9929621220000001,20,train
21,0.9932116866,21,train
22,0.9940602183,22,train
23,0.9942100048,23,train
24,0.9941850305000001,24,train
0,0.772329092,0,test
1,0.8062632084,1,test
2,0.8120028377,2,test
3,0.7493706346,3,test
4,0.7189608216000001,4,test
5,0.7945826054,5,test
6,0.6504883766,6,test
7,0.7197663784,7,test
8,0.7395025492,8,test
9,0.6568321586,9,test
10,0.7161414027,10,test
11,0.7063739896,11,test
12,0.7538012266,12,test
13,0.7718256116000001,13,test
14,0.7200684547,14,test
15,0.6621689796,15,test
16,0.7165441513,16,test
17,0.7303393483,17,test
18,0.6997281313,18,test
19,0.721578896,19,test
20,0.7524921894000001,20,test
21,0.781693697,21,test
22,0.7458463311,22,test
23,0.7623602748,23,test
24,0.7182559371,24,test
