index,sensitivity_at_specificity,epoch,stage
0,0.8928598166,0,train
1,0.9489130974000001,1,train
2,0.9734957218,2,train
3,0.9899672866,3,train
4,0.9951084256,4,train
5,0.9980283976000001,5,train
6,0.9987521768000001,6,train
7,0.9992762208,7,train
8,0.9991264939000001,8,train
9,0.9992762208,9,train
10,0.9994260073000001,10,train
11,0.9993760586,11,train
12,0.9994758964,12,train
13,0.9994758964,13,train
14,0.9993261695000001,14,train
15,0.9994010329,15,train
16,0.9994758964,16,train
17,0.9994260073000001,17,train
18,0.9995008707,18,train
19,0.9995507598000001,19,train
20,0.9994509220000001,20,train
21,0.9995757341,21,train
22,0.9994758964,22,train
23,0.9994260073000001,23,train
24,0.9996505976000001,24,train
0,0.9361594915,0,test
1,0.9411942363,1,test
2,0.9320310354,2,test
3,0.9171282053,3,test
4,0.9055482745000001,4,test
5,0.9017218947000001,5,test
6,0.8872218132,6,test
7,0.8929614425,7,test
8,0.8854092956,8,test
9,0.8814822435,9,test
10,0.8807773590000001,10,test
11,0.8842009902,11,test
12,0.8898398876,12,test
13,0.9036350846000001,13,test
14,0.8902426958,14,test
15,0.8702043891000001,15,test
16,0.8871211410000001,16,test
17,0.8805759549000001,17,test
18,0.8775551319,18,test
19,0.8879266977,19,test
20,0.8889336586000001,20,test
21,0.9015204906000001,21,test
22,0.8977947831,22,test
23,0.8963850737,23,test
24,0.8875238895,24,test
