index,specificity_at_sensitivity,epoch,stage
0,0.8986752033000001,0,train
1,0.9624853134,1,train
2,0.9815431833,2,train
3,0.9930129647,3,train
4,0.9974455833,4,train
5,0.9991986156,5,train
6,0.9990233183,6,train
7,0.9993989468000001,7,train
8,0.9994239807,8,train
9,0.9994991422,9,train
10,0.9993739128,10,train
11,0.9994490743000001,11,train
12,0.9996243715,12,train
13,0.9994991422,13,train
14,0.9996243715,14,train
15,0.9997245073000001,15,train
16,0.9993989468000001,16,train
17,0.9996494055,17,train
18,0.9994490743000001,18,train
19,0.9994490743000001,19,train
20,0.9997495413,20,train
21,0.9995492101000001,21,train
22,0.9993989468000001,22,train
23,0.9995742440000001,23,train
24,0.9995492101000001,24,train
0,0.9441851377,0,test
1,0.9447810054,1,test
2,0.9306783080000001,2,test
3,0.9188598394,3,test
4,0.9089283943,4,test
5,0.8965140581000001,5,test
6,0.8844969869,6,test
7,0.8804250956,7,test
8,0.8805243969000001,8,test
9,0.8884695768,9,test
10,0.8857880831,10,test
11,0.8607607484,11,test
12,0.8813189268,12,test
13,0.8747641444,13,test
14,0.8915483356,14,test
15,0.8933359981000001,15,test
16,0.8901579380000001,16,test
17,0.8766511083,17,test
18,0.8912503719,18,test
19,0.8909524083,19,test
20,0.8749627471,20,test
21,0.8590723872,21,test
22,0.8784387708,22,test
23,0.8844969869,23,test
24,0.8883702159,24,test
