index,auc,epoch,stage
0,0.790899992,0,train
1,0.8981307149000001,1,train
2,0.9456214905,2,train
3,0.9682324529,3,train
4,0.9777808189,4,train
5,0.9828472137,5,train
6,0.9859007597,6,train
7,0.9884030223,7,train
8,0.9903068542000001,8,train
9,0.9919866920000001,9,train
10,0.9932001233000001,10,train
11,0.99426651,11,train
12,0.9951173663,12,train
13,0.9957064390000001,13,train
14,0.9962015152,14,train
15,0.9966924191000001,15,train
16,0.9970855117,16,train
17,0.9973883033000001,17,train
18,0.9977090955000001,18,train
19,0.9979662895,19,train
20,0.9981194139,20,train
21,0.9982989430000001,21,train
22,0.9984810352000001,22,train
23,0.9987316728000001,23,train
24,0.9987844229,24,train
0,0.839823842,0,test
1,0.8330084085,1,test
2,0.8080493808,2,test
3,0.796126008,3,test
4,0.7870240211,4,test
5,0.7801452279000001,5,test
6,0.7754603624,6,test
7,0.7736321688000001,7,test
8,0.7680441141000001,8,test
9,0.7654375434,9,test
10,0.7606784105000001,10,test
11,0.7556240559,11,test
12,0.7523813248,12,test
13,0.7486309409,13,test
14,0.7464112043000001,14,test
15,0.7433388829,15,test
16,0.7378894687,16,test
17,0.7367625237000001,17,test
18,0.7354958653,18,test
19,0.7332444191,19,test
20,0.7337857485,20,test
21,0.72754246,21,test
22,0.7259361744,22,test
23,0.7237696052,23,test
24,0.7232079506,24,test
