index,binary_accuracy,epoch,stage
0,0.7177000046,0,train
1,0.8221750259,1,train
2,0.8807749748,2,train
3,0.9100624919,3,train
4,0.9264374971,4,train
5,0.9360250235,5,train
6,0.9416875243,6,train
7,0.9476875067,7,train
8,0.9524750113,8,train
9,0.9566875100000001,9,train
10,0.9597374797,10,train
11,0.9631749988,11,train
12,0.9662874937,12,train
13,0.9686375260000001,13,train
14,0.9696750045,14,train
15,0.9722499847,15,train
16,0.9736875296,16,train
17,0.9747375250000001,17,train
18,0.9769124985000001,18,train
19,0.9778749943,19,train
20,0.9784374833,20,train
21,0.9794750214000001,21,train
22,0.9804000258000001,22,train
23,0.9821749926000001,23,train
24,0.9826124907,24,train
0,0.7618499994,0,test
1,0.7514500022,1,test
2,0.7287999988,2,test
3,0.7189999819,3,test
4,0.716899991,4,test
5,0.7107499838,5,test
6,0.7085000277,6,test
7,0.7081000209,7,test
8,0.7057499886,8,test
9,0.7049999833,9,test
10,0.7018499970000001,10,test
11,0.6991000175000001,11,test
12,0.6991999745,12,test
13,0.698300004,13,test
14,0.6940000057,14,test
15,0.6912500262,15,test
16,0.6880999804,16,test
17,0.6916499734,17,test
18,0.6915500164,18,test
19,0.6884499788,19,test
20,0.6893000007,20,test
21,0.6881499887,21,test
22,0.6887999773,22,test
23,0.6867499948,23,test
24,0.6874499917,24,test
