index,cost_metric,epoch,stage
0,-84.0984344482,0,train
1,-51.0497093201,1,train
2,-44.9997787476,2,train
3,-39.79429245,3,train
4,-35.6025772095,4,train
5,-30.7947063446,5,train
6,-26.5994663239,6,train
7,-23.8668842316,7,train
8,-21.6668586731,8,train
9,-19.357427597,9,train
10,-18.0377731323,10,train
11,-16.8122615814,11,train
12,-15.6714448929,12,train
13,-14.2250461578,13,train
14,-13.4085092545,14,train
15,-12.4874382019,15,train
16,-11.351313591,16,train
17,-10.9576416016,17,train
18,-10.1052093506,18,train
19,-9.3975400925,19,train
20,-8.7367715836,20,train
21,-8.0679368973,21,train
22,-7.598941803,22,train
23,-7.3850812912,23,train
24,-6.8131394386,24,train
0,-52.4386062622,0,val
1,-72.3310775757,1,val
2,-56.8139419556,2,val
3,-65.3832168579,3,val
4,-46.8471603394,4,val
5,-47.7755203247,5,val
6,-46.6293067932,6,val
7,-64.4259490967,7,val
8,-73.3879089355,8,val
9,-70.1029815674,9,val
10,-72.6802368164,10,val
11,-66.7364654541,11,val
12,-76.7762451172,12,val
13,-64.9274597168,13,val
14,-51.7125282288,14,val
15,-68.3101043701,15,val
16,-82.6001739502,16,val
17,-76.4866104126,17,val
18,-59.9899940491,18,val
19,-80.3522338867,19,val
20,-95.6217041016,20,val
21,-74.7021560669,21,val
22,-58.1406326294,22,val
23,-64.1572723389,23,val
24,-82.5765151978,24,val
