index,loss,epoch,stage
0,0.5308433771000001,0,train
1,0.4263665974,1,train
2,0.3930207491,2,train
3,0.3673477173,3,train
4,0.3406644166,4,train
5,0.3055528104,5,train
6,0.2688606083,6,train
7,0.2403024584,7,train
8,0.21989800040000002,8,train
9,0.20361486080000002,9,train
10,0.1885326356,10,train
11,0.1765254587,11,train
12,0.16527351740000001,12,train
13,0.1549064517,13,train
14,0.145513311,14,train
15,0.136514768,15,train
16,0.128952533,16,train
17,0.1211950183,17,train
18,0.115095444,18,train
19,0.1079105213,19,train
20,0.1021502018,20,train
21,0.0963214934,21,train
22,0.0910192579,22,train
23,0.0865734667,23,train
24,0.08172670010000001,24,train
0,0.4616318941,0,val
1,0.4560394585,1,val
2,0.44896849990000004,2,val
3,0.46559986470000003,3,val
4,0.4752292335,4,val
5,0.5003128648,5,val
6,0.5534769893,6,val
7,0.5544922352,7,val
8,0.5321737528,8,val
9,0.5536807179000001,9,val
10,0.6193470955,10,val
11,0.608523488,11,val
12,0.6742125750000001,12,val
13,0.642809391,13,val
14,0.6913745403,14,val
15,0.6689676046,15,val
16,0.7358568907,16,val
17,0.6930500269000001,17,val
18,0.7484734058,18,val
19,0.7623856664,19,val
20,0.7621042728,20,val
21,0.7288288474,21,val
22,0.7791671753,22,val
23,0.8241471648,23,val
24,0.7908808589,24,val
