index,precision,epoch,stage
0,0.7352985144,0,train
1,0.8132292032,1,train
2,0.8330012560000001,2,train
3,0.8496039510000001,3,train
4,0.8642191291,4,train
5,0.8821058273,5,train
6,0.897883296,6,train
7,0.9085129499000001,7,train
8,0.9170075059,8,train
9,0.9250397682,9,train
10,0.9302008748,10,train
11,0.9348499775,11,train
12,0.9393923879,12,train
13,0.9445761442,13,train
14,0.9476084709,14,train
15,0.9512256384000001,15,train
16,0.9553357363,16,train
17,0.9570690989,17,train
18,0.9603274465,18,train
19,0.9631291032,19,train
20,0.9655884504000001,20,train
21,0.9681387544000001,21,train
22,0.9701597691,22,train
23,0.9710265398000001,23,train
24,0.9731578827,24,train
0,0.7971737981,0,val
1,0.7638448477,1,val
2,0.7915695906,2,val
3,0.77358675,3,val
4,0.8072289228,4,val
5,0.7999088764000001,5,val
6,0.7973848581,6,val
7,0.7645244002,7,val
8,0.7512384653,8,val
9,0.7559453249,9,val
10,0.7493845224,10,val
11,0.7582812309,11,val
12,0.7416827679,12,val
13,0.7565796375,13,val
14,0.7806466818000001,14,val
15,0.7526283264,15,val
16,0.7289370298000001,16,val
17,0.7357492447,17,val
18,0.7651848793,18,val
19,0.7295194864,19,val
20,0.7099881768,20,val
21,0.7337118983,21,val
22,0.7586852312,22,val
23,0.7511037588,23,val
24,0.7193664312,24,val
