index,recall,epoch,stage
0,0.7310324311,0,train
1,0.8216156363,1,train
2,0.8720956445,2,train
3,0.9034263492,3,train
4,0.919567883,4,train
5,0.9297440648,5,train
6,0.935960114,6,train
7,0.9428528547,7,train
8,0.9473895431,8,train
9,0.9523021579000001,9,train
10,0.9550843239000001,10,train
11,0.9597463608000001,11,train
12,0.9634057879000001,12,train
13,0.9659122229,13,train
14,0.9676416516,14,train
15,0.9701982737,15,train
16,0.9705240726000001,16,train
17,0.9726044536,17,train
18,0.9744341969,18,train
19,0.9758878946,19,train
20,0.9762889147,20,train
21,0.9768403769,21,train
22,0.9783943892,22,train
23,0.980524838,23,train
24,0.9808256030000001,24,train
0,0.7669999003,0,test
1,0.7542313933,1,test
2,0.693457365,2,test
3,0.66732651,3,test
4,0.7199841738,4,test
5,0.6928635240000001,5,test
6,0.6690092087,6,test
7,0.7422547936,7,test
8,0.663169384,8,test
9,0.6644561291000001,9,test
10,0.6552509069,10,test
11,0.6596060395000001,11,test
12,0.6716817021,12,test
13,0.6940512657,13,test
14,0.6404038668,14,test
15,0.6252598166000001,15,test
16,0.6049688458,16,test
17,0.6412946582,17,test
18,0.6768286824,18,test
19,0.6402058601,19,test
20,0.6453528404000001,20,test
21,0.6652479172,21,test
22,0.6569336057,22,test
23,0.662674427,23,test
24,0.6911808252,24,test
