index,sensitivity_at_specificity,epoch,stage
0,0.8902862072000001,0,train
1,0.9465029836000001,1,train
2,0.9594530463000001,2,train
3,0.9665144682000001,3,train
4,0.9730019569,4,train
5,0.9809865952000001,5,train
6,0.9877735376000001,6,train
7,0.9913416505,7,train
8,0.9933128953,8,train
9,0.9957581758,9,train
10,0.9964069128,10,train
11,0.9972552657,11,train
12,0.9973301291000001,12,train
13,0.9982783198,13,train
14,0.9982533455,14,train
15,0.9988023043,15,train
16,0.9988521934000001,16,train
17,0.9988272786000001,17,train
18,0.9989769459000001,18,train
19,0.9994261265000001,19,train
20,0.9994261265000001,20,train
21,0.9994760156,21,train
22,0.9995757937,22,train
23,0.9997006059,23,train
24,0.9996007681,24,train
0,0.9317746758000001,0,val
1,0.9361080527000001,1,val
2,0.9387282133,2,val
3,0.937014997,3,val
4,0.9337902069,4,val
5,0.9239141345,5,val
6,0.9071853161000001,6,val
7,0.9116194844000001,7,val
8,0.9196815491,8,val
9,0.9142396450000001,9,val
10,0.9113171697,10,val
11,0.9089993238,11,val
12,0.905169785,12,val
13,0.8981155157,13,val
14,0.8899526596,14,val
15,0.9015418887000001,15,val
16,0.8986193538,16,val
17,0.8943867683000001,17,val
18,0.8898518682000001,18,val
19,0.8920689225,19,val
20,0.8937821388,20,val
21,0.8780610561000001,21,val
22,0.8665726185,22,val
23,0.8810843229,23,val
24,0.8752393723,24,val
