index,specificity_at_sensitivity,epoch,stage
0,0.8675909638,0,train
1,0.9640426040000001,1,train
2,0.9883549809000001,2,train
3,0.9951874018,3,train
4,0.9975812435,4,train
5,0.998877883,5,train
6,0.9992519021,6,train
7,0.9995760918000001,7,train
8,0.9996259809,8,train
9,0.9997506142,9,train
10,0.9996758103000001,10,train
11,0.9997007847,11,train
12,0.9997755885,12,train
13,0.9997755885,13,train
14,0.9998254776000001,14,train
15,0.9997256994,15,train
16,0.9998005033,16,train
17,0.9998503923000001,17,train
18,0.9997506142,18,train
19,0.9998503923000001,19,train
20,0.9999002814000001,20,train
21,0.9998753071,21,train
22,0.9998254776000001,22,train
23,0.9998503923000001,23,train
24,0.9998503923000001,24,train
0,0.9191673994,0,test
1,0.9083560705,1,test
2,0.8833990097000001,2,test
3,0.8750126362,3,test
4,0.8673335314,4,test
5,0.8613721132000001,5,test
6,0.8560169935,6,test
7,0.8542993069,7,test
8,0.8519753218,8,test
9,0.85278368,9,test
10,0.8447003961,10,test
11,0.8432858586,11,test
12,0.8431848288,12,test
13,0.8368192315,13,test
14,0.8381327391000001,14,test
15,0.8372234106,15,test
16,0.8348994851,16,test
17,0.8321713805000001,17,test
18,0.8301505446,18,test
19,0.8311609626,19,test
20,0.8316661716,20,test
21,0.8238860369000001,21,test
22,0.8214610219,22,test
23,0.8182277679000001,23,test
24,0.8100434542,24,test
