index,auc,epoch,stage
0,0.8147431612,0,train
1,0.8837365508,1,train
2,0.9018068314000001,2,train
3,0.9140269756,3,train
4,0.925963819,4,train
5,0.9393137097,5,train
6,0.953568995,6,train
7,0.9639286995,7,train
8,0.9704399705000001,8,train
9,0.9751327634,9,train
10,0.9787051082,10,train
11,0.9816207886,11,train
12,0.9840404987,12,train
13,0.9859530926000001,13,train
14,0.9876387715,14,train
15,0.9891571403,15,train
16,0.9905217886000001,16,train
17,0.9916607141,17,train
18,0.9926429391,18,train
19,0.9934669733,19,train
20,0.9943512082,20,train
21,0.9950123429000001,21,train
22,0.9956760406,22,train
23,0.9960397482000001,23,train
24,0.9965686798000001,24,train
0,0.8638970256,0,val
1,0.8642358184000001,1,val
2,0.8732761145,2,val
3,0.8716661334,3,val
4,0.8647130132,4,val
5,0.8592741489,5,val
6,0.8407907486,6,val
7,0.8227356672,7,val
8,0.8326309323000001,8,val
9,0.8259626627000001,9,val
10,0.8336980343,10,val
11,0.8315032125,11,val
12,0.8264816999,12,val
13,0.8276305199,13,val
14,0.8229015470000001,14,val
15,0.8089514971,15,val
16,0.8124646544,16,val
17,0.8150702119000001,17,val
18,0.7938421965,18,val
19,0.7885525227,19,val
20,0.7915315032,20,val
21,0.8018562794,21,val
22,0.787804544,22,val
23,0.7921721935,23,val
24,0.7820658088,24,val
