index,binary_accuracy,epoch,stage
0,0.7382249832000001,0,train
1,0.8059124947,1,train
2,0.822712481,2,train
3,0.8373875022,3,train
4,0.8503875136,4,train
5,0.8674874902,5,train
6,0.8871750236,6,train
7,0.9026374817,7,train
8,0.9132875204,8,train
9,0.9215624928,9,train
10,0.9278500080000001,10,train
11,0.9326000214,11,train
12,0.9378625154,12,train
13,0.9417999983,13,train
14,0.946449995,14,train
15,0.9501749873,15,train
16,0.9537749887,16,train
17,0.9563000202,17,train
18,0.9597250223,18,train
19,0.9624500275000001,19,train
20,0.9650250077,20,train
21,0.9673874974000001,21,train
22,0.9700750113000001,22,train
23,0.9722874761,23,train
24,0.9740750194000001,24,train
0,0.7824000120000001,0,val
1,0.7716500163000001,1,val
2,0.78974998,2,val
3,0.7892500162,3,val
4,0.7825499773,4,val
5,0.7755500078,5,val
6,0.7504500151,6,val
7,0.7326499820000001,7,val
8,0.7512000203,8,val
9,0.7539499998,9,val
10,0.7607499957,10,val
11,0.7576000094,11,val
12,0.7533000112,12,val
13,0.7595499754,13,val
14,0.7528499961,14,val
15,0.7483999729,15,val
16,0.7468000054,16,val
17,0.7499499917,17,val
18,0.7342000008,18,val
19,0.7262499928,19,val
20,0.7277500033000001,20,val
21,0.7397500277,21,val
22,0.7228999734,22,val
23,0.7336500287000001,23,val
24,0.7231000066000001,24,val
