index,cost_metric,epoch,stage
0,-90.3580245972,0,train
1,-50.8817901611,1,train
2,-44.879119873,2,train
3,-40.2139625549,3,train
4,-36.5797119141,4,train
5,-32.0854187012,5,train
6,-26.3357505798,6,train
7,-23.3036899567,7,train
8,-20.399066925,8,train
9,-18.6333255768,9,train
10,-17.0704593658,10,train
11,-16.0057296753,11,train
12,-14.4852895737,12,train
13,-13.7707805634,13,train
14,-12.5453853607,14,train
15,-11.5807447433,15,train
16,-10.9160423279,16,train
17,-10.2849960327,17,train
18,-9.5068616867,18,train
19,-8.8381462097,19,train
20,-8.2491455078,20,train
21,-7.6623682976000005,21,train
22,-6.8567900658,22,train
23,-6.2935461998,23,train
24,-5.9457259178,24,train
0,-53.1196212769,0,val
1,-32.4912528992,1,val
2,-45.9574928284,2,val
3,-54.2883758545,3,val
4,-61.1291923523,4,val
5,-70.103729248,5,val
6,-43.9883308411,6,val
7,-35.8728103638,7,val
8,-85.0190734863,8,val
9,-65.2139129639,9,val
10,-61.4088592529,10,val
11,-77.5780410767,11,val
12,-83.4241256714,12,val
13,-60.1154823303,13,val
14,-54.5834541321,14,val
15,-64.3539657593,15,val
16,-72.901473999,16,val
17,-74.0980834961,17,val
18,-78.7751159668,18,val
19,-90.6925735474,19,val
20,-99.6398696899,20,val
21,-69.8106155396,21,val
22,-105.3287658691,22,val
23,-71.5063552856,23,val
24,-87.8721694946,24,val
