index,loss,epoch,stage
0,0.5614719987,0,train
1,0.4127572775,1,train
2,0.305539012,2,train
3,0.2281567901,3,train
4,0.1858385205,4,train
5,0.16321738060000002,5,train
6,0.1422805786,6,train
7,0.1258807182,7,train
8,0.11390211430000001,8,train
9,0.1048885584,9,train
10,0.0976091921,10,train
11,0.09034264830000001,11,train
12,0.0841700584,12,train
13,0.0788132623,13,train
14,0.0751519799,14,train
15,0.0700070113,15,train
16,0.06626229730000001,16,train
17,0.0615729727,17,train
18,0.0585798323,18,train
19,0.0568590499,19,train
20,0.0540411063,20,train
21,0.050891075300000005,21,train
22,0.0476174355,22,train
23,0.0462628566,23,train
24,0.0447406359,24,train
0,0.5095449686,0,test
1,0.5357797146000001,1,test
2,0.6162288189,2,test
3,0.6740115881000001,3,test
4,0.753377378,4,test
5,0.7876261473,5,test
6,0.8177189231,6,test
7,0.8853129745,7,test
8,0.8887484670000001,8,test
9,0.9625111222,9,test
10,1.0674571991,10,test
11,1.1052484512,11,test
12,1.1166094542,12,test
13,1.1636430025,13,test
14,1.2729582787,14,test
15,1.3316140175,15,test
16,1.3326691389,16,test
17,1.4433397055000001,17,test
18,1.5003532171,18,test
19,1.5364074707,19,test
20,1.5862196684,20,test
21,1.5763882399,21,test
22,1.6499035358,22,test
23,1.7565666437,23,test
24,1.81590271,24,test
