index,precision,epoch,stage
0,0.7320449948000001,0,train
1,0.8134173751,1,train
2,0.8327637315,2,train
3,0.8484926224,3,train
4,0.8611732125,4,train
5,0.8776613474,5,train
6,0.8982968330000001,6,train
7,0.9103199244,7,train
8,0.9208461642,8,train
9,0.9278175831000001,9,train
10,0.9336889386,10,train
11,0.9377839565,11,train
12,0.9433318973,12,train
13,0.946418643,13,train
14,0.9510381818,14,train
15,0.9547699690000001,15,train
16,0.9573382139000001,16,train
17,0.9598079920000001,17,train
18,0.9628327489,18,train
19,0.9653596878,19,train
20,0.9676399827000001,20,train
21,0.9700223207,21,train
22,0.9730157256,22,train
23,0.9752252698,23,train
24,0.9765774012,24,train
0,0.7962529063,0,val
1,0.8432328701,1,val
2,0.814765811,2,val
3,0.7966912985,3,val
4,0.7810639143,4,val
5,0.763007462,5,val
6,0.8017146587,6,val
7,0.8146771193,7,val
8,0.7300316691000001,8,val
9,0.7598003745,9,val
10,0.7698454261000001,10,val
11,0.7426301837,11,val
12,0.733115077,12,val
13,0.7713800073,13,val
14,0.7787114978,14,val
15,0.7584637999999999,15,val
16,0.7440177202,16,val
17,0.7438746095000001,17,val
18,0.7293202877,18,val
19,0.710508883,19,val
20,0.7016863823,20,val
21,0.7448311448,21,val
22,0.6938341856,22,val
23,0.7391893268,23,val
24,0.7114716172000001,24,val
