index,sensitivity_at_specificity,epoch,stage
0,0.8910982609,0,train
1,0.9448131323000001,1,train
2,0.9568883777,2,train
3,0.9651713967000001,3,train
4,0.9729055166,4,train
5,0.9799161553,5,train
6,0.9854797721,6,train
7,0.9908187985,7,train
8,0.9933386445000001,8,train
9,0.9957337379000001,9,train
10,0.9966319203,10,train
11,0.9970310926,11,train
12,0.9979043007,12,train
13,0.9981538057,13,train
14,0.9990270138,14,train
15,0.9987276196,15,train
16,0.9989022613,16,train
17,0.9989771247,17,train
18,0.9995259643000001,18,train
19,0.9993762970000001,19,train
20,0.9996257424,20,train
21,0.9994760752,21,train
22,0.9995509386,22,train
23,0.9994261861,23,train
24,0.9996257424,24,train
0,0.9276063442,0,val
1,0.9340592623,1,val
2,0.9426295757,2,val
3,0.941722095,3,val
4,0.9394031167,4,val
5,0.9322444201000001,5,val
6,0.9167170525,6,val
7,0.8934261203,7,val
8,0.9038112760000001,8,val
9,0.8996773362,9,val
10,0.9034079313000001,10,val
11,0.9064327478,11,val
12,0.9054244757000001,12,val
13,0.9001814723,13,val
14,0.8959467411,14,val
15,0.882738471,15,val
16,0.8912079334,16,val
17,0.8964508772,17,val
18,0.8747731447,18,val
19,0.8777979612,19,val
20,0.8844525218,20,val
21,0.8843516707,21,val
22,0.8829401135,22,val
23,0.8718491793,23,val
24,0.8794111609,24,val
