index,specificity_at_sensitivity,epoch,stage
0,0.8622039557000001,0,train
1,0.9593119025,1,train
2,0.9868611097000001,2,train
3,0.9951882362000001,3,train
4,0.9976065755,4,train
5,0.9980802536000001,5,train
6,0.9989528656000001,6,train
7,0.9995761514,7,train
8,0.9996509552,8,train
9,0.9996260405,9,train
10,0.9996260405,10,train
11,0.9995761514,11,train
12,0.9996758699,12,train
13,0.9996509552,13,train
14,0.9997755885,14,train
15,0.999725759,15,train
16,0.9998005629000001,16,train
17,0.9998503923000001,17,train
18,0.9998753667,18,train
19,0.9999002814000001,19,train
20,0.9999002814000001,20,train
21,0.9998503923000001,21,train
22,0.9999251962000001,22,train
23,0.9999002814000001,23,train
24,0.9998503923000001,24,train
0,0.910212338,0,test
1,0.9024267197,1,test
2,0.8836198449,2,test
3,0.8706774712,3,test
4,0.8606673479,4,test
5,0.8549039364000001,5,test
6,0.852578342,6,test
7,0.8486349583,7,test
8,0.8437815905,8,test
9,0.8375126123000001,9,test
10,0.8353892565000001,10,test
11,0.8338726163,11,test
12,0.8292214274,12,test
13,0.8260869384,13,test
14,0.8287158608,14,test
15,0.8282102942,15,test
16,0.821031332,16,test
17,0.8169868588,17,test
18,0.8193124533,18,test
19,0.8143579364,19,test
20,0.817997992,20,test
21,0.8080889583,21,test
22,0.8099089861000001,22,test
23,0.8117290139000001,23,test
24,0.8117290139000001,24,test
